"Step","Grouped runs - mean_total_return_100","Grouped runs - mean_total_return_100__MIN","Grouped runs - mean_total_return_100__MAX"
"2000","0.08709576355236569","-0.03585231577412098","0.15930455351237297"
"4000","-0.07809595428903064","-0.18414598980037095","0.07004285680784636"
"6000","-0.17166183214308642","-0.2994721009533103","-0.03632439250283461"
"8000","-0.2077927534770082","-0.28556918891699357","-0.08924799313953712"
"10000","-0.2345053976309299","-0.3351963542358496","-0.10257833943843866"
"12000","-0.3220192092466602","-0.4191607064617452","-0.1766375121431322"
"14000","-0.37518383825883084","-0.44768664200344865","-0.2330381007207302"
"16000","-0.44208880418705876","-0.5177275044682157","-0.30703560689309756"
"18000","-0.4877120268540893","-0.5428534663714708","-0.38625064469617065"
"20000","-0.501720674251268","-0.5665415130311756","-0.4059223384988551"
"22000","-0.5073086555963499","-0.5475289868110208","-0.4281907493604419"
"24000","-0.5185423586461597","-0.5680164920072265","-0.43922240082911185"
"26000","-0.5340807507816122","-0.5786740436887262","-0.46456759971783185"
"28000","-0.5719781009015961","-0.6148348590477525","-0.49836831707886775"
"30000","-0.6219411871187873","-0.6515351891771816","-0.5947962131705862"
"32000","-0.6569521526892936","-0.6803967757965442","-0.631466829215617"
"34000","-0.6848245539348757","-0.7219159808432916","-0.6317079946726387"
"36000","-0.7126796672971896","-0.8003455465339628","-0.6293178502913157"
"38000","-0.7210722425746892","-0.8515501520500831","-0.6141722614842303"
"40000","-0.7223749754222043","-0.8878074353065268","-0.604309927542957"
"42000","-0.728057637275597","-0.9239440166289836","-0.5890494075327172"
"44000","-0.7205001165804715","-0.9251193180085099","-0.5951105725473095"
"46000","-0.7413789341687734","-0.9546972421937836","-0.6291091273141277"
"48000","-0.7466717259859061","-0.9699603649287729","-0.6295792768366368"
"50000","-0.7487239775126708","-0.978092697977585","-0.5975010730871511"
"52000","-0.7661565280914943","-1.0028759859558591","-0.6046536070722975"
"54000","-0.7709272941099471","-0.9741565677485265","-0.6073001606842077"
"56000","-0.7867986547383777","-0.9890211416765298","-0.5917518512015348"
"58000","-0.7601765557587435","-0.9122354498787856","-0.5577304751718514"
"60000","-0.7734481424943157","-0.9006002517380369","-0.5424009201647171"
"62000","-0.7803246938288622","-0.9127310220076699","-0.5526876888507075"
"64000","-0.7811181451608252","-0.9479648862581611","-0.5641818930705675"
"66000","-0.7658326262091849","-0.9575692276041613","-0.5374119241421185"
"68000","-0.7514161177638847","-0.9214142165780969","-0.5393190526390289"
"70000","-0.7662416427189428","-0.9143189383125909","-0.5632779741808864"
"72000","-0.7598207819050083","-0.8879381127916613","-0.5878478504290198"
"74000","-0.7901369614471275","-0.948473884128126","-0.6029504718450533"
"76000","-0.7875372087322635","-0.8919140607498314","-0.6445099135790773"
"78000","-0.7954608630204927","-0.8654886363816158","-0.6632607098443186"
"80000","-0.7802046986398525","-0.8987255169847305","-0.64261370870493"
"82000","-0.7714241792031902","-0.9024946945008527","-0.6311734115763903"
"84000","-0.7582183661288395","-0.9291200993869321","-0.6186808823445391"
"86000","-0.7754135359508787","-0.9365084175842584","-0.6848145703135162"
"88000","-0.7718736766522883","-0.9619476187240048","-0.6565732910072691"
"90000","-0.7803870314785545","-0.983512697649277","-0.6761210251298686"
"92000","-0.7950270327725809","-1.002787057802237","-0.6891299758445565"
"94000","-0.8172754155439357","-1.0241652879630478","-0.7045293234922425"
"96000","-0.8404875293799661","-1.0479029623916107","-0.7228640229658241"
"98000","-0.8354024134064505","-1.0402886962780116","-0.7118913516118063"
"100000","-0.8074481330757286","-1.0305847009979856","-0.6748029093031769"
"102000","-0.8290823501025546","-1.039966083432822","-0.7116180383015177"
"104000","-0.8163845860481347","-1.0025413967187782","-0.7161000955039518"
"106000","-0.8284608606596082","-0.9732493503378814","-0.7386497439024484"
"108000","-0.8667881196588659","-1.0298637899214105","-0.7758759909595342"
"110000","-0.8878431126740862","-1.0611943094718759","-0.7670883906755082"
"112000","-0.8850834376198017","-1.0235558675279233","-0.7771422728207621"
"114000","-0.8830492363827519","-1.050295540494628","-0.7653396587849053"
"116000","-0.8788598580533682","-1.0355292776431801","-0.7370966208500542"
"118000","-0.8867276822178463","-1.0514115122596945","-0.7181261234075881"
"120000","-0.8905449895457315","-1.0321934455591975","-0.7353995189671059"
"122000","-0.9118615319470393","-1.0510188788672234","-0.7899387499555308"
"124000","-0.9247295631479945","-1.0706136461225824","-0.7923224774240887"
"126000","-0.9323002445916817","-1.0398204375467457","-0.814798820762634"
"128000","-0.9517401665309988","-1.063491171958026","-0.8222713004352662"
"130000","-0.9357688907324165","-1.0447409111107624","-0.814462029806344"
"132000","-0.9319606984443575","-1.0511061258993035","-0.8021457146501692"
"134000","-0.9191303155682763","-1.0379562316133564","-0.7825271626187079"
"136000","-0.9320690494304387","-1.0570956595782386","-0.8165201695898489"
"138000","-0.9547469793534124","-1.0988053093046768","-0.8247902270377293"
"140000","-0.9326106027826233","-1.0769722236702801","-0.8320179903065931"
"142000","-0.950600055685101","-1.103155173947798","-0.8728867575231091"
"144000","-0.9590491427427237","-1.0996871586119952","-0.8635064842016337"
"146000","-0.9459519341861681","-1.103061656779963","-0.7876278652371527"
"148000","-0.8993586250205322","-1.056099265848989","-0.7283779866641609"
"150000","-0.8747412132095537","-1.0179784908971634","-0.7020909669865041"
"152000","-0.8847996648168427","-1.0479293921801145","-0.692652133974104"
"154000","-0.8910759234291659","-1.0772854144775192","-0.6814286101230854"
"156000","-0.8971131498709033","-1.0677643017374794","-0.6904636951231222"
"158000","-0.9079231328662782","-1.0821933616321184","-0.6955339928847148"
"160000","-0.9004446357632512","-1.1114168606148065","-0.6672381532865379"
"162000","-0.8988373681778669","-1.1199480526373413","-0.6616854675584455"
"164000","-0.866095575011944","-1.0870780514128506","-0.625702961288682"
"166000","-0.8772615267633249","-1.1008294822447005","-0.6431153611686582"
"168000","-0.8733282774582217","-1.1195554603486324","-0.6453876794984833"
"170000","-0.8444581208341891","-1.0848075663681145","-0.6286202190552516"
"172000","-0.8508395839175087","-1.0997279643450866","-0.6465321891577283"
"174000","-0.8427307421220389","-1.07309948378754","-0.670130641406283"
"176000","-0.847375550252249","-1.0385367386555222","-0.6933365750141981"
"178000","-0.8277301659993679","-1.052088602416272","-0.6415404894912919"
"180000","-0.8208634528108464","-1.0928677971563845","-0.611515473736461"
"182000","-0.8329768646369234","-1.1099769847128154","-0.628462122216527"
"184000","-0.8074432187305756","-1.0799341108096376","-0.6084919843135895"
"186000","-0.7981556321492566","-1.0701207260388572","-0.6038272326682956"
"188000","-0.8041405465174217","-1.0551740621368713","-0.6085653093488615"
"190000","-0.7905716447753116","-1.0256724049989911","-0.5856237473816105"
"192000","-0.7700970712093077","-0.9974884373537111","-0.6019187693676323"
"194000","-0.7814825386040672","-0.9868552940723798","-0.5848338425807998"
"196000","-0.7743719014416612","-0.9837329497549995","-0.5688295854109446"
"198000","-0.7787713909312949","-0.9657923229175001","-0.6181214704148617"
"200000","-0.7835676943515747","-1.0011527644515466","-0.61049737593353"
"202000","-0.783416661422136","-1.0070410130581315","-0.6124093546055844"
"204000","-0.7974281434407446","-1.0383205758331773","-0.6397288403395103"
"206000","-0.7619740591526926","-0.9766024656140674","-0.6181742293298482"
"208000","-0.7657643468066082","-0.9793450646934528","-0.6134400960475211"
"210000","-0.7785714955650077","-1.0086501646156851","-0.5967645667926879"
"212000","-0.7784535650332202","-1.0162437350138518","-0.5893987049669925"
"214000","-0.803553124312542","-1.0279560470234101","-0.6013504986687297"
"216000","-0.8203864349282931","-1.0321318247735927","-0.6571620591949872"
"218000","-0.8505234979869231","-1.0604595319185057","-0.6695045979849494"
"220000","-0.8485204664164367","-1.0264021678067394","-0.6942655927431077"
"222000","-0.8434429594419854","-1.021023471938085","-0.7286347820871267"
"224000","-0.835961793228236","-1.0111031518013642","-0.6870985972069624"
"226000","-0.836863155368806","-1.0071400616309685","-0.681752660519008"
"228000","-0.8437008212643562","-1.0027938782103438","-0.7022447132936722"
"230000","-0.8433292167068487","-0.9699532242062425","-0.7065160838694937"
"232000","-0.8688463095660408","-1.005666642018493","-0.7345526163694359"
"234000","-0.8891057406589674","-0.9899362963553441","-0.7636202276940501"
"236000","-0.8715814927844665","-0.9718878577252772","-0.7502612334504419"
"238000","-0.8676433729029815","-0.9573778600181064","-0.7730110979450369"
"240000","-0.8733715276910082","-0.950233549621942","-0.7462740676973447"
"242000","-0.848823297273594","-0.9619198216632553","-0.7339645100834281"
"244000","-0.8477240862508678","-0.9518902564574576","-0.7581928453148543"
"246000","-0.8498343782259125","-0.9459400289851009","-0.7820173181478313"
"248000","-0.8489506558019292","-0.9342118858034489","-0.7928170553927923"
"250000","-0.8665452893287583","-0.929572371188885","-0.8035426391537913"
"252000","-0.8867635403241128","-0.9239297173104406","-0.8341417180607241"
"254000","-0.894895681369582","-0.9641273555892677","-0.8196684132241132"
"256000","-0.910456343173658","-0.9957374875326022","-0.8329801122382122"
"258000","-0.8996755617302323","-0.9818608519979134","-0.8147139896612566"
"260000","-0.8836578266668876","-0.9839376787142207","-0.772787020641677"
"262000","-0.8438716280325048","-0.9704022395479805","-0.7214786101588464"
"264000","-0.8445174111769816","-0.9879386141091585","-0.700828067414838"
"266000","-0.8109111592922895","-0.9576661446066573","-0.6725425547097901"
"268000","-0.7884498853933758","-0.9319023103183136","-0.6504834755464316"
"270000","-0.8154653338198073","-0.9686966719994669","-0.7099218021612143"
"272000","-0.8073577240230608","-0.9844794388220686","-0.6862429670557859"
"274000","-0.8068224752615784","-0.9960626190708056","-0.6563107649599214"
"276000","-0.7801182685796024","-0.9720750600255754","-0.5910759058714856"
"278000","-0.7850400098129207","-0.9996745802469279","-0.5977594107720506"
"280000","-0.763720928363747","-0.9570707450721143","-0.5702191368746408"
"282000","-0.7509339494414892","-0.9234872955761578","-0.577724828483986"
"284000","-0.7610532767857325","-0.9470877244200284","-0.5569488544063207"
"286000","-0.7896945220541537","-0.9636405527598885","-0.6028308494718659"
"288000","-0.7980749158777964","-0.9301912929341236","-0.6291942254978649"
"290000","-0.8173656782513913","-0.9558172233020927","-0.6346964534707066"
"292000","-0.8221197404301351","-0.9383902390043601","-0.6769421357670496"
"294000","-0.8543216208881933","-0.9627050041473819","-0.7156127081840719"
"296000","-0.8404166286194088","-0.9409389585244469","-0.7480302029041964"
"298000","-0.8347465063829341","-0.9286909667651172","-0.7739601098884763"
"300000","-0.8447960698564415","-0.9579461498676798","-0.782799334237485"
"302000","-0.8314540950399717","-0.9462738470698707","-0.7733012196417757"
"304000","-0.8211781539356754","-0.9362732935494745","-0.7533852281594862"
"306000","-0.8322639539041702","-0.9830960704631173","-0.7316119499045367"
"308000","-0.8184580537603131","-0.9926892948302443","-0.6838084499140156"
"310000","-0.8333485744170611","-0.996635276036151","-0.6845862230173284"
"312000","-0.8181570662079282","-0.9939162877520547","-0.6320161020964938"
"314000","-0.819771867509557","-1.0162846795295675","-0.6161085162753648"
"316000","-0.7954260861655028","-0.9871285405885117","-0.5596670821545123"
"318000","-0.7707111327115101","-0.9565760000631834","-0.5276167499575396"
"320000","-0.7603156494394964","-0.9804620411921916","-0.5006674181030385"
"322000","-0.7596914505573252","-1.0110825925341032","-0.5008814854085349"
"324000","-0.7431881335936087","-1.0064241761651047","-0.5054325456241632"
"326000","-0.7284239637577802","-0.9658214209053821","-0.4986191219180066"
"328000","-0.7551177009260707","-1.0009337428017988","-0.5286362627909772"
"330000","-0.7510397697804256","-0.9771915240720643","-0.5476248692908422"
"332000","-0.7559182917200017","-1.0006213486227005","-0.5162918206075223"
"334000","-0.7473798573474304","-1.0113973596798984","-0.4975982075988876"
"336000","-0.7390354093808503","-1.014031042890727","-0.4993702491968004"
"338000","-0.7173214364070691","-0.9940682334468808","-0.5125441971939224"
"340000","-0.7138180973806042","-1.0372363955198896","-0.4861049936548741"
"342000","-0.7077190053170733","-1.0253302032996658","-0.47228227251033167"
"344000","-0.7310730711934439","-1.0511730720447137","-0.5038757703277363"
"346000","-0.7423345692212616","-1.0607968824296017","-0.5357172854025696"
"348000","-0.740318981902889","-1.0258172070893685","-0.5444250793108215"
"350000","-0.75242525670145","-1.0329109062298425","-0.5377969073740011"
"352000","-0.7528268949243784","-1.0421296201337662","-0.547053697554587"
"354000","-0.7423197607309698","-1.057551419460082","-0.5177610870207411"
"356000","-0.7266406324473597","-1.0607517204485175","-0.4801349085398816"
"358000","-0.7235543886182739","-1.0831878756273499","-0.47414626989536"
"360000","-0.7023309586047869","-1.0570636654280088","-0.47817443140356586"
"362000","-0.7153086352904605","-1.0576623356748953","-0.5072389555060853"
"364000","-0.7259926734105964","-1.0491977199629532","-0.5015920049806885"
"366000","-0.7458600598167328","-1.0458791790648014","-0.5612166846709152"
"368000","-0.7596939858646925","-1.0146057739412995","-0.6238550126126671"
"370000","-0.7631265815187813","-1.017700181143731","-0.6289568138464194"
"372000","-0.7483347674585964","-0.9883930968869475","-0.6045798672169236"
"374000","-0.7183650490577619","-0.9273023998240086","-0.5865216707750541"
"376000","-0.7018532285532283","-0.9329890436573031","-0.5443498472724351"
"378000","-0.7146011408783298","-0.9559164848612699","-0.5678305017626153"
"380000","-0.7180111503242541","-0.9185831412918323","-0.5965400132285219"
"382000","-0.7137076319096088","-0.9260436234056405","-0.5985062351329608"
"384000","-0.7325542580341825","-0.9173780048553598","-0.6176559362810926"
"386000","-0.7374392304447058","-0.9015920130618614","-0.6353973631614354"
"388000","-0.7278438309516105","-0.8766653206257615","-0.6515675709662143"
"390000","-0.7105680479940425","-0.8621180815865442","-0.6053123264067078"
"392000","-0.7015688150919924","-0.8798086197868028","-0.5878104726485661"
"394000","-0.6746126021460115","-0.8332635456340429","-0.5833856841640707"
"396000","-0.6807406080344629","-0.846552176535413","-0.5896464710400872"
"398000","-0.6799651140082649","-0.8232709777209014","-0.5958311019843251"
"400000","-0.6911941409854835","-0.8705349852125819","-0.5982877609740982"
"402000","-0.6916913319235592","-0.8439272663084286","-0.5862699337144731"
"404000","-0.6803586950363808","-0.8615627917436379","-0.54642990191438"
"406000","-0.6828628612767043","-0.8662430651103363","-0.5773090117009706"
"408000","-0.6742402484066834","-0.8652608078775214","-0.5754162228108897"
"410000","-0.6830572209102499","-0.8597489373917908","-0.5909249821990147"
"412000","-0.6779621695431834","-0.8815888180011789","-0.5733745831380908"
"414000","-0.6885388754037202","-0.9044706014936927","-0.5760170283449658"
"416000","-0.6804567029045225","-0.8962148175987866","-0.5581899056061481"
"418000","-0.6842966279462085","-0.9111878400632436","-0.541660585981266"
"420000","-0.7071958874720495","-0.9157100622728411","-0.5571015532677372"
"422000","-0.688940426332661","-0.8807903108105474","-0.5527677227614293"
"424000","-0.7021230823872933","-0.8921244367824349","-0.5920112479714833"
"426000","-0.7002884554539274","-0.8924368849422263","-0.6002306602516133"
"428000","-0.6864437626211082","-0.8658102045969518","-0.5944942534876362"
"430000","-0.6831149574945067","-0.8366077597970089","-0.5978684034904698"
"432000","-0.68754677259042","-0.8310396310626996","-0.6041607189401365"
"434000","-0.6866389710124899","-0.811987548585562","-0.6078852674544867"
"436000","-0.6773125456892108","-0.8004232260163583","-0.5869030354761907"
"438000","-0.6811748126669572","-0.7795854754380591","-0.5818478083441888"
"440000","-0.6741716918608477","-0.7575954766173867","-0.5854581190510963"
"442000","-0.6557436719261108","-0.7329358421171102","-0.5788343036865505"
"444000","-0.6449647216972237","-0.7140240995233588","-0.5763836525703471"
"446000","-0.6369085672912803","-0.7054888589665004","-0.5703395941399426"
"448000","-0.6323613669660221","-0.7394412252105482","-0.5513065962933392"
"450000","-0.6265079055192679","-0.7790735390577794","-0.5246764278043916"
"452000","-0.6197904218681131","-0.7690404167417769","-0.5133175875397495"
"454000","-0.6282891621723072","-0.7577520026415917","-0.5253109172114578"
"456000","-0.644557513172226","-0.7462076842743299","-0.554536744801322"
"458000","-0.6661015990017048","-0.7500562005776777","-0.5824491972807389"
"460000","-0.6435663446692543","-0.7228700253533065","-0.5989436929342956"
"462000","-0.6677359024071782","-0.7660272366514296","-0.61776893836332"
"464000","-0.6526409645846197","-0.7417456430090279","-0.6066982444782857"
