"Step","Grouped runs - mean_int_return_100","Grouped runs - mean_int_return_100__MIN","Grouped runs - mean_int_return_100__MAX"
"2000","0.006055914595240898","-0.11200501145129757","0.1112082296433593"
"4000","-0.10608570798692869","-0.2057135985981273","0.028661837251080905"
"6000","-0.17570285240900843","-0.2797637559952405","-0.10266539513236653"
"8000","-0.1895306163826548","-0.2728831400856144","-0.13229271917200475"
"10000","-0.2430214755115345","-0.3146431955271338","-0.18389874326700942"
"12000","-0.3494813559437044","-0.40512590340351584","-0.2940920833637558"
"14000","-0.41211294438967233","-0.4250131265583781","-0.39450312506908003"
"16000","-0.44280703531508286","-0.47849737532487163","-0.4215959123038144"
"18000","-0.4684705631038352","-0.49345463734011974","-0.4249942629333222"
"20000","-0.500112869965574","-0.5338988017691009","-0.44393721112609946"
"22000","-0.5160883290056003","-0.5433047786021967","-0.464842351464381"
"24000","-0.5036624445339883","-0.5469129946439761","-0.4310636751669766"
"26000","-0.5183525043736825","-0.5689813183902069","-0.4315701503188192"
"28000","-0.5606981341817545","-0.6212855873802546","-0.459514839473101"
"30000","-0.5990850065417741","-0.674038683389612","-0.4893091399850678"
"32000","-0.6344567219145735","-0.749292634390251","-0.49301703149156006"
"34000","-0.669273086333992","-0.7883415795330511","-0.5185419797232468"
"36000","-0.6851600926318682","-0.8491024685619014","-0.5124471759177837"
"38000","-0.691077118356847","-0.8700574158256313","-0.5016225693974854"
"40000","-0.6883005631829137","-0.8655246873998221","-0.5188429187144363"
"42000","-0.6971762120204698","-0.8723085521157156","-0.5380392928574007"
"44000","-0.7076265471326005","-0.9052185211133147","-0.5239835687563684"
"46000","-0.7213100687846322","-0.9411050266661444","-0.5346692191643744"
"48000","-0.7447927787182343","-0.9783738902778534","-0.5527313927173493"
"50000","-0.7532652274175672","-0.9826845515780479","-0.5737688249708957"
"52000","-0.7850607997884108","-0.9704427742350709","-0.649864900808425"
"54000","-0.766639460537989","-0.9399950880193829","-0.6277261907571158"
"56000","-0.7622462488251841","-0.943556898580464","-0.6166256009976788"
"58000","-0.7587629532326684","-0.9361324419777525","-0.6085727111064191"
"60000","-0.7709448060112288","-0.9321369743076648","-0.6233788304524351"
"62000","-0.7740245800058282","-0.9189802611662166","-0.6211734009242939"
"64000","-0.765375564992428","-0.9035770155641805","-0.6110816732433016"
"66000","-0.7699490756414598","-0.9139788028978946","-0.5965766006918712"
"68000","-0.7702843100234992","-0.9194977742110352","-0.5855998555882834"
"70000","-0.7490552869891061","-0.8778539515592131","-0.6078938972073957"
"72000","-0.7393910521947111","-0.8385246921866494","-0.613901883149476"
"74000","-0.6983811409367773","-0.7821321399870214","-0.5861484311206442"
"76000","-0.7014002651750623","-0.7738313714818799","-0.5632492173449393"
"78000","-0.6883462142395427","-0.7993119721908589","-0.49214302513782976"
"80000","-0.6971974334218625","-0.8386880296401504","-0.5074937931030837"
"82000","-0.719073604808314","-0.8636213799053511","-0.5166362866176024"
"84000","-0.6973853323558129","-0.8459832945200324","-0.49116815123807106"
"86000","-0.702571803736999","-0.8462762583132428","-0.47340286029044015"
"88000","-0.6746148167532265","-0.8343857800763509","-0.4442046642828028"
"90000","-0.6754784154109693","-0.8393128075746064","-0.44021735427305614"
"92000","-0.6697647120343113","-0.8377930997687218","-0.4257330914436135"
"94000","-0.6648164200283392","-0.8211845912446443","-0.42985945045957846"
"96000","-0.657712273565241","-0.818751510731381","-0.4048133502901583"
"98000","-0.646848441304958","-0.7949417861285911","-0.39999257541301986"
"100000","-0.6600465298927533","-0.7966214530119033","-0.4224502353858226"
"102000","-0.639776982830812","-0.7804386171225051","-0.4405980515679804"
"104000","-0.637596005322949","-0.7928887171537792","-0.4453379712743446"
"106000","-0.6522053246080022","-0.7756613993960784","-0.5118563882179553"
"108000","-0.6280862199523387","-0.7236198618328199","-0.5114359535060469"
"110000","-0.6550114393821108","-0.7134139169391712","-0.5667570393158349"
"112000","-0.6514375439742484","-0.715513717496222","-0.5567498887755175"
"114000","-0.6746483535860128","-0.7593493447582951","-0.5909204002753796"
"116000","-0.6883793972956972","-0.7465510811034837","-0.619732015403828"
"118000","-0.701522984345546","-0.7430755906718624","-0.6515143846097017"
"120000","-0.7049715686893814","-0.7324761344341169","-0.6645411617419414"
"122000","-0.7014497897607365","-0.7339577204716741","-0.6575061293984146"
"124000","-0.7056348572386248","-0.7481469226664168","-0.6288779165015403"
"126000","-0.6998784529743768","-0.7495967442723459","-0.6246540337530279"
"128000","-0.6943710104855699","-0.7731103165099236","-0.5802340510048962"
"130000","-0.6926138327103365","-0.8317914451770966","-0.5662153391166794"
"132000","-0.6854266329718585","-0.8679611712994418","-0.5402384302695719"
"134000","-0.675779444891539","-0.893282861394383","-0.48685014919917735"
"136000","-0.6528472739939514","-0.8532204469566141","-0.4671218581065041"
"138000","-0.6379903229204869","-0.8431060351924835","-0.4880081327519292"
"140000","-0.6005847234114721","-0.8171178197525434","-0.47376630500580363"
"142000","-0.591530984444398","-0.843047695872475","-0.4480821631543077"
"144000","-0.5939164834578136","-0.8601805892095065","-0.4522720216993911"
"146000","-0.5828574427164734","-0.8696445062383275","-0.4328506281197042"
"148000","-0.5814142637303975","-0.8608214737352732","-0.4411650387823902"
"150000","-0.5725660903003519","-0.8619270650272085","-0.4072494558294348"
"152000","-0.5653321036603037","-0.8386300614073412","-0.4026936773217096"
"154000","-0.5966623593857635","-0.89684729842189","-0.4091020175093146"
"156000","-0.5907579788160318","-0.8945352476985501","-0.42966827512968314"
"158000","-0.5968287451178623","-0.9083416106352453","-0.43822376471728797"
"160000","-0.5985211826153246","-0.8879602026838694","-0.4431967889471417"
"162000","-0.5975027902902973","-0.9049587481001509","-0.43518330904078184"
"164000","-0.6243289196397358","-0.9710696572289454","-0.44150749442458626"
"166000","-0.6376632060261255","-1.0177655300991904","-0.425544521554024"
"168000","-0.6416441739704339","-0.998615242829168","-0.4079446814296389"
"170000","-0.6372185935757081","-0.9933453145638634","-0.38899089529713093"
"172000","-0.6207395181530738","-0.9907980404624541","-0.37983675378093923"
"174000","-0.6233780865610461","-0.9771222047810736","-0.3758366403014953"
"176000","-0.6167179587682088","-0.9375819599005918","-0.3995828108261776"
"178000","-0.6336006670892361","-0.990988887252388","-0.39643742381971975"
"180000","-0.6355120172221723","-1.0113432848431259","-0.3718113614045287"
"182000","-0.643790297632638","-0.96677904054023","-0.42796263013214053"
"184000","-0.6361716850958752","-0.8901983207828706","-0.4930384894089512"
"186000","-0.6285937660431361","-0.883263608117948","-0.4731577889124019"
"188000","-0.6459991534298749","-0.8828252761109142","-0.48524075288155294"
"190000","-0.6029319815765095","-0.8126118838413496","-0.48104468615462254"
"192000","-0.6004053776167663","-0.7990316808409226","-0.4741898879123474"
"194000","-0.5819841479031359","-0.7453534518308408","-0.46124308749695786"
"196000","-0.5815424642327658","-0.7283396342199812","-0.5019987775771879"
"198000","-0.5661049456177957","-0.6962240908091444","-0.4964191811443307"
"200000","-0.5669184748102464","-0.6583175933823477","-0.5130972384831434"
"202000","-0.5559368046844707","-0.6849158488801004","-0.47683403557807064"
"204000","-0.5702016821923922","-0.6889843565955782","-0.4642241376297712"
"206000","-0.5698370720548724","-0.6434770861882244","-0.46840484540063665"
"208000","-0.5471438861562649","-0.6110124753492783","-0.43267939420234647"
"210000","-0.5506956755738707","-0.6218057882092399","-0.44277288008082144"
"212000","-0.5489885438118908","-0.6201666436726664","-0.45047227190024175"
"214000","-0.5402559799840115","-0.6040727548617142","-0.44109017192044125"
"216000","-0.5502654168393177","-0.6201555156306567","-0.4233483507218917"
"218000","-0.5670265724634252","-0.642860733451249","-0.45391051996815085"
"220000","-0.5745983424450994","-0.6626959958250082","-0.4443363277693426"
"222000","-0.5782669389253741","-0.635351855937639","-0.4865888146122599"
"224000","-0.5746698563907727","-0.6091320718305796","-0.510644360635066"
"226000","-0.6095479179772351","-0.631778647061059","-0.5847391079224036"
"228000","-0.6126105895959749","-0.6382933677062466","-0.5968047510914911"
"230000","-0.6158901492796116","-0.6633860258321659","-0.5688152918750129"
"232000","-0.6164410053822964","-0.7010614454882598","-0.5513617121467541"
"234000","-0.6203665044208829","-0.6846533675533867","-0.577110599516629"
"236000","-0.6258333532922504","-0.6928278445867037","-0.5748741003293254"
"238000","-0.6597086380833838","-0.7215563587822836","-0.6032918204939632"
"240000","-0.6528152451645873","-0.7240820683070343","-0.5923104249573952"
"242000","-0.6587641198131703","-0.7499155619996017","-0.5454998493813619"
"244000","-0.6569740478554839","-0.7785995724085081","-0.49963252464725516"
"246000","-0.6832826294715147","-0.8135401132582919","-0.5321874939549016"
"248000","-0.6879477674025986","-0.7925034222538818","-0.5211817445365013"
"250000","-0.6935753733394959","-0.7878265664288193","-0.5092302914495813"
"252000","-0.6884220796706505","-0.7968821804497566","-0.49350363144115533"
"254000","-0.6776727387975067","-0.7736813165972708","-0.5115816068790155"
"256000","-0.6797292195058446","-0.7649691505299415","-0.543168954480323"
"258000","-0.7004575802007361","-0.7802021106030154","-0.5824671593902749"
"260000","-0.7144508814790947","-0.7727983935759695","-0.61964068239677"
"262000","-0.6825569911364195","-0.7532965869037141","-0.5593506680109422"
"264000","-0.6935829679653011","-0.744087845381728","-0.5942596826502705"
"266000","-0.6917084606946835","-0.7724277113716528","-0.5819905995061272"
"268000","-0.7088385518469345","-0.7771627046651848","-0.5961829776771483"
"270000","-0.6757489323328884","-0.7502607302042925","-0.6007905061584315"
"272000","-0.6644426581286644","-0.7659283898051983","-0.5901907810205012"
"274000","-0.6716462684802452","-0.7927992612098498","-0.547331931413559"
"276000","-0.6869332354039352","-0.8110733901334722","-0.5752685180303525"
"278000","-0.698346835705378","-0.800834600773084","-0.5971761911106733"
"280000","-0.6839285323332068","-0.8010616191391278","-0.5604311154525132"
"282000","-0.6623321832872621","-0.8058881369131526","-0.5211654838360482"
"284000","-0.6173337868500933","-0.7375563057231161","-0.46050693423809574"
"286000","-0.6017446814712665","-0.7413908681445724","-0.39924235142298126"
"288000","-0.6119437063626115","-0.7273256575957607","-0.42733737920279247"
"290000","-0.5757558116419594","-0.6906477190992122","-0.3794490755447987"
"292000","-0.5179056817823599","-0.6364123791835739","-0.29997756302690687"
"294000","-0.5021919739656796","-0.6096796683956638","-0.2949499929210506"
"296000","-0.49555447756579235","-0.5905380250137502","-0.3154023368436247"
"298000","-0.5019680706279229","-0.6227172959392193","-0.2860280165115474"
"300000","-0.47986440317519025","-0.6071087741646917","-0.29769417831367906"
"302000","-0.46783340296967313","-0.5961250629436982","-0.28649829903450885"
"304000","-0.42380606113399216","-0.5356446867061605","-0.24399616584947947"
"306000","-0.408926871367483","-0.5018141322413286","-0.25927633832907315"
"308000","-0.398002418540685","-0.4653345439665428","-0.27596126745198857"
"310000","-0.4105895911465196","-0.47898108437187337","-0.29073835885192967"
"312000","-0.42578307862564796","-0.5176939194152511","-0.3100383035954438"
"314000","-0.4075655068748772","-0.47511246954973474","-0.326385287448502"
"316000","-0.3620082544531252","-0.4523371251803547","-0.2782335297513929"
"318000","-0.3777036111738635","-0.4612918941855096","-0.2912824052382204"
"320000","-0.3858580003461903","-0.4539613307226464","-0.32562599451545987"
"322000","-0.3691397673264752","-0.4335385533381849","-0.28504657977083125"
"324000","-0.34074634917843416","-0.4127985258547559","-0.2621055611466001"
"326000","-0.34116144315921143","-0.4520332219756215","-0.2642400724407927"
"328000","-0.30736128588767725","-0.44014071883106726","-0.23632716846675617"
"330000","-0.31841123408255634","-0.48081012634670833","-0.23187713471203467"
"332000","-0.31736148510987716","-0.5416361456277059","-0.18363099556221282"
"334000","-0.2908230305516813","-0.5345626644976704","-0.14606703638707408"
"336000","-0.2727937023104355","-0.5697083945393947","-0.09981494424495035"
"338000","-0.25599514141777685","-0.5923751790291548","-0.07735913537480524"
"340000","-0.25847126311495877","-0.62271316145481","-0.07535920235153754"
"342000","-0.26911006855202796","-0.670431952318138","-0.05672263792809098"
"344000","-0.2629708857264746","-0.7163504266528377","-0.02507807459670584"
"346000","-0.23399304017929223","-0.7376570264324016","0.018320146256184708"
"348000","-0.2591255973129511","-0.7607804711136318","0.004764671576733276"
"350000","-0.2682091695036305","-0.7806912149831166","0.003173355624836428"
"352000","-0.25820623890580713","-0.7478580864182588","-0.008665395668824231"
"354000","-0.2583181317396376","-0.7170212464297514","-0.016406727711495452"
"356000","-0.24775978171166213","-0.6509282244901261","-0.031234372265491396"
"358000","-0.22382307039968272","-0.6066605904311692","-0.008349799471128818"
"360000","-0.2414862602567216","-0.6411910185029229","-0.0258545985730016"
"362000","-0.26057001000277163","-0.6223561415732803","-0.04694965246511855"
"364000","-0.25162777716349355","-0.5673009440925635","-0.04714580573671267"
"366000","-0.2625195131671681","-0.5515927112809478","-0.03980149636881833"
"368000","-0.23790663188414693","-0.5033131946488684","-0.03216582082024254"
"370000","-0.2511492573970136","-0.48895520221416894","-0.06576372341344543"
"372000","-0.2807396676925091","-0.49275748588925844","-0.09956436038271929"
"374000","-0.29694925000432826","-0.4732070633121876","-0.14931274626740193"
"376000","-0.2919501137382237","-0.4696680301826673","-0.14731913845699451"
"378000","-0.3274954154261468","-0.5200260579404531","-0.17928294404786718"
"380000","-0.33736938875835376","-0.5242470555173377","-0.18936245194989898"
"382000","-0.35381393758567814","-0.5689846242582454","-0.19706498719238147"
"384000","-0.40648346549705666","-0.6068265824495821","-0.2704856481167808"
"386000","-0.43517182048845005","-0.6329884386356927","-0.30925027926602344"
"388000","-0.42013939741543166","-0.6003564598056902","-0.3214021913560136"
"390000","-0.42421862587021525","-0.6229218689525505","-0.30874688248215537"
"392000","-0.43226358013636706","-0.5857189079882583","-0.3280753900503769"
"394000","-0.47799848181216625","-0.6280245188095496","-0.397964033750366"
"396000","-0.462927918177042","-0.6508710099126394","-0.3246520279789111"
"398000","-0.4550366406757746","-0.6906899540937657","-0.2833570405213396"
"400000","-0.42597097402139456","-0.6473649307978259","-0.23301792367245078"
"402000","-0.4160974299311999","-0.639779531994419","-0.18929988418897856"
"404000","-0.38993704698611903","-0.6013789650110476","-0.13311410637684465"
"406000","-0.3912824079983685","-0.6175891434287525","-0.10904115015040594"
"408000","-0.3839859151615741","-0.6087045904988319","-0.06352417855551906"
"410000","-0.36217018679706187","-0.5942425981749676","-0.01635303663071686"
"412000","-0.3160102507447416","-0.5462575176597003","0.051615208609560745"
"414000","-0.3422076651678916","-0.5514117218042649","0.011499611307524851"
"416000","-0.34623023564914374","-0.5819700570192345","0.015522229160771506"
"418000","-0.33487724120086093","-0.5650293589610065","0.012821174440710775"
"420000","-0.32680222057131697","-0.5231146509723896","0.012392305022376567"
"422000","-0.3282139819965682","-0.5388432823006281","-0.004323368203904478"
"424000","-0.35687458450889137","-0.5434663160582405","-0.0671121502098013"
"426000","-0.3740903945254359","-0.5256739336198936","-0.09595934378695356"
"428000","-0.3820461269455713","-0.5617131074399786","-0.08893997783867787"
"430000","-0.4069474757786727","-0.5747744142987632","-0.1320219278272908"
"432000","-0.4124317354445775","-0.5453229444147419","-0.17424285487192365"
