"Step","Grouped runs - mean_total_return_100","Grouped runs - mean_total_return_100__MIN","Grouped runs - mean_total_return_100__MAX"
"2000","0.04700829554762186","-0.11200501145129757","0.16501775345288314"
"4000","-0.08164126354248426","-0.2057135985981273","0.053772948362192007"
"6000","-0.15903618574234177","-0.2797637559952405","-0.08554418301115439"
"8000","-0.17012704039287194","-0.2517720289745033","-0.11930421342487829"
"10000","-0.22635480884486783","-0.2975260784100167","-0.1705654099336761"
"12000","-0.3343057106013923","-0.39105182932944177","-0.2787132954849679"
"14000","-0.39704884182556976","-0.41283363937889084","-0.3795031250690801"
"16000","-0.4269602054343548","-0.46262166911018243","-0.40837557332076346"
"18000","-0.45021185663617347","-0.47947453783763216","-0.4035514768636705"
"20000","-0.479893650746355","-0.5212411441114432","-0.424781655570544"
"22000","-0.49764659458825616","-0.5286950927225808","-0.44732202626112905"
"24000","-0.4868209963442256","-0.5363886500746877","-0.41510071220401357"
"26000","-0.4976194001354237","-0.5421005461302347","-0.41177633588582946"
"28000","-0.5412870230706434","-0.5940939756919077","-0.4378815061397677"
"30000","-0.5800738954306629","-0.6467386833896118","-0.4643758066517345"
"32000","-0.6148678330256846","-0.7219926343902511","-0.4680836981582267"
"34000","-0.6494397530006587","-0.7610415795330512","-0.49287531305658017"
"36000","-0.6652156481874237","-0.821469135228568","-0.48678050925111704"
"38000","-0.6707548961346248","-0.8442574158256313","-0.4747892360641521"
"40000","-0.6679783409606914","-0.8397246873998222","-0.4920095853811029"
"42000","-0.6794873231315807","-0.8475418854490487","-0.5159392928574007"
"44000","-0.6909932137992674","-0.8856185211133147","-0.5051835687563685"
"46000","-0.7068434021179656","-0.9280050266661442","-0.5158692191643744"
"48000","-0.73104833427379","-0.9674405569445201","-0.5339313927173491"
"50000","-0.7375763385286782","-0.9717512182447146","-0.5505354916375623"
"52000","-0.7690941331217442","-0.9625094409017375","-0.6237315674750918"
"54000","-0.7526283494268778","-0.9368284213527163","-0.6026928574237824"
"56000","-0.7487906932696285","-0.9420568985804642","-0.5915922676643455"
"58000","-0.7428962865660019","-0.929999108644419","-0.5855727111064192"
"60000","-0.7551114726778955","-0.9260036409743315","-0.6004788304524351"
"62000","-0.7597023577836058","-0.912846927832883","-0.6028067342576272"
"64000","-0.7479977872146502","-0.8933103488975138","-0.5916150065766349"
"66000","-0.7524268534192377","-0.9021121362312279","-0.5782766006918713"
"68000","-0.7512843100234994","-0.9057644408777018","-0.5647331889216168"
"70000","-0.7318219536557727","-0.8641206182258797","-0.587027230540729"
"72000","-0.7174910521947111","-0.8140246921866492","-0.5898018831494761"
"74000","-0.6750700298256662","-0.7576321399870213","-0.5578150977873109"
"76000","-0.6780891540639512","-0.7500202066983678","-0.5349158840116058"
"78000","-0.6669795475728759","-0.7748119721908588","-0.47137635847116305"
"80000","-0.6785641000885292","-0.8141880296401506","-0.491327126436417"
"82000","-0.6971958270305362","-0.8391213799053512","-0.4907362866176023"
"84000","-0.6757297768002575","-0.8261166278533658","-0.46130148457140435"
"86000","-0.6838495815147767","-0.8264095916465761","-0.4459695269571068"
"88000","-0.6544592611976711","-0.8145191134096842","-0.4124713309494694"
"90000","-0.6572117487443028","-0.8240128075746065","-0.4095840209397228"
"92000","-0.653942489812089","-0.8240930997687219","-0.39509975811028"
"94000","-0.6475719755838947","-0.8056179245779777","-0.40059278379291186"
"96000","-0.6380900513430189","-0.7960515107313811","-0.3755466836234917"
"98000","-0.6263039968605136","-0.7739084527952578","-0.3739592420796866"
"100000","-0.6425798632260866","-0.78058811967857","-0.4006502353858225"
"102000","-0.6212880939419232","-0.7644052837891718","-0.4157313849013138"
"104000","-0.6193404497673934","-0.7744220504871125","-0.42047130460767795"
"106000","-0.6331053246080022","-0.7546613993960782","-0.4869897215512886"
"108000","-0.6089528866190054","-0.6942198618328199","-0.4948692868393801"
"110000","-0.6370558838265552","-0.6795472502725043","-0.5581903726491683"
"112000","-0.630304210640915","-0.6777803841628887","-0.5425165554421841"
"114000","-0.6541261313637906","-0.7216160114249617","-0.5785204002753797"
"116000","-0.6666905084068083","-0.7053177477701503","-0.6073320154038281"
"118000","-0.6775007621233239","-0.7018422573385291","-0.6321143846097019"
"120000","-0.6825937909116037","-0.7064640765587528","-0.6463411617419415"
"122000","-0.682705345316292","-0.7262910538050075","-0.6393061293984147"
"124000","-0.6885126350164027","-0.7458469226664168","-0.6106779165015405"
"126000","-0.6818340085299325","-0.7495967442723459","-0.6064540337530279"
"128000","-0.6773487882633477","-0.7731103165099236","-0.5651007176715629"
"130000","-0.6738916104881145","-0.8252581118437634","-0.5510820057833461"
"132000","-0.665882188527414","-0.8600945046327751","-0.5251050969362386"
"134000","-0.6590350004470945","-0.8854161947277162","-0.4717168158658441"
"136000","-0.6370472739939513","-0.8453537802899476","-0.4519885247731708"
"138000","-0.6221903229204867","-0.8352393685258167","-0.47287479941859595"
"140000","-0.5872291678559165","-0.8092511530858766","-0.462099638339137"
"142000","-0.5768643177777313","-0.8351810292058083","-0.43604882982097437"
"144000","-0.5791720390133691","-0.8475139225428397","-0.4402386883660578"
"146000","-0.5692352204942513","-0.8557111729049943","-0.4254506281197042"
"148000","-0.5665253748415086","-0.8468881404019397","-0.4227229453401957"
"150000","-0.5582994236336852","-0.847993731693875","-0.3895827891627681"
"152000","-0.553665436993637","-0.8246967280740077","-0.3928270106550429"
"154000","-0.5834845816079857","-0.8829139650885567","-0.39923535084264783"
"156000","-0.5797579788160317","-0.8871352476985501","-0.41980160846301645"
"158000","-0.5878287451178622","-0.9022749439685785","-0.4224904313839546"
"160000","-0.5888322937264358","-0.8798268693505361","-0.4379967889471418"
"162000","-0.5860916791791863","-0.8955920814334842","-0.4299833090407818"
"164000","-0.6129955863064026","-0.9603029905622787","-0.42184082775791965"
"166000","-0.6270632060261256","-1.0069988634325238","-0.40807785488735737"
"168000","-0.6298997295259895","-0.9878485761625015","-0.38857801476297227"
"170000","-0.6231741491312636","-0.9814453145638633","-0.3650575619637976"
"172000","-0.6063284070419627","-0.9754313737957874","-0.35827008711427255"
"174000","-0.6095114198943795","-0.9630222047810736","-0.35696997363482863"
"176000","-0.6028512921015422","-0.9234819599005918","-0.38071614415951094"
"178000","-0.6197340004225694","-0.976888887252388","-0.37757075715305305"
"180000","-0.6208342394443945","-0.9972432848431257","-0.35051136140452877"
"182000","-0.6274236309659713","-0.9461457072068968","-0.40976263013214054"
"184000","-0.6183383517625419","-0.8695649874495374","-0.47043848940895117"
"186000","-0.6094382104875805","-0.8626302747846146","-0.45055778891240195"
"188000","-0.6292547089854306","-0.8654919427775809","-0.46657408621488633"
"190000","-0.5866542037987318","-0.7966785505080164","-0.46237801948795587"
"192000","-0.5832387109500995","-0.7830983475075892","-0.4528565545790141"
"194000","-0.564006370125358","-0.7294201184975074","-0.4446430874969579"
"196000","-0.5644757975660991","-0.7135396342199811","-0.48209877757718794"
"198000","-0.548527167840018","-0.6814240908091443","-0.4749858478109974"
"200000","-0.551985141476913","-0.6517842600490146","-0.4951639051498101"
"202000","-0.5374256935733596","-0.6783825155467672","-0.45573403557807063"
"204000","-0.5516905710812812","-0.6824510232622448","-0.44312413762977115"
"206000","-0.5526148498326502","-0.636943752854891","-0.44730484540063664"
"208000","-0.5311661083784871","-0.5977397889171698","-0.40877939420234655"
"210000","-0.5312512311294263","-0.6218057882092399","-0.41887288008082146"
"212000","-0.5282885438118908","-0.6201666436726664","-0.4305389385669084"
"214000","-0.5195559799840117","-0.6040727548617142","-0.42115683858710795"
"216000","-0.5291098612837621","-0.6201555156306567","-0.4034150173885584"
"218000","-0.5467599057967586","-0.642860733451249","-0.43397718663481755"
"220000","-0.5571872313339883","-0.6626959958250082","-0.4329696611026759"
"222000","-0.5619558278142629","-0.635351855937639","-0.4752221479455932"
"224000","-0.5599254119463283","-0.6091320718305796","-0.49927769396839927"
"226000","-0.5943145846439016","-0.631778647061059","-0.5719057745890703"
"228000","-0.5985994784848637","-0.6021600343729133","-0.5968047510914911"
"230000","-0.6044012603907226","-0.6574860258321656","-0.5688152918750129"
"232000","-0.6040521164934075","-0.6951614454882599","-0.5486617121467541"
"234000","-0.6094553933097718","-0.68318670088672","-0.5707688795259664"
"236000","-0.6158889088478059","-0.6913611779200369","-0.566240766995992"
"238000","-0.6520530825278282","-0.7167896921156169","-0.59465848716063"
"240000","-0.6452930229423651","-0.7181487349737009","-0.5836770916240618"
"242000","-0.6516974531465035","-0.7439822286662684","-0.5368665160480286"
"244000","-0.6476407145221504","-0.7673662390751745","-0.4894991913139217"
"246000","-0.6716826294715149","-0.8023067799249586","-0.5177541606215683"
"248000","-0.6763477674025985","-0.7812700889205485","-0.5067484112031679"
"250000","-0.6811087066728292","-0.7760932330954858","-0.49479695811624785"
"252000","-0.6757109685595393","-0.7871155137830899","-0.479070298107822"
"254000","-0.6649616276863957","-0.7639146499306042","-0.49714827354568214"
"256000","-0.6671847750614003","-0.7552024838632749","-0.5287356211469896"
"258000","-0.6879020246451805","-0.7640354439363485","-0.5707338260569416"
"260000","-0.7018953259235392","-0.7566317269093028","-0.6079073490634367"
"262000","-0.6684903244697528","-0.7435299202370476","-0.5476173346776089"
"264000","-0.681494079076412","-0.7326347091972382","-0.5884596826502705"
"266000","-0.6790306829169057","-0.7454943780383193","-0.5761905995061273"
"268000","-0.6948163296247122","-0.74786997319847","-0.5903829776771483"
"270000","-0.662715598999555","-0.7192940635376259","-0.5943905061584316"
"272000","-0.6522426581286644","-0.7374617231385316","-0.5837907810205012"
"274000","-0.6608796018135786","-0.7643325945431831","-0.5452319314135589"
"276000","-0.6761665687372685","-0.7826067234668055","-0.5731685180303525"
"278000","-0.6863690579276002","-0.7785679341064173","-0.58524285777734"
"280000","-0.6719507545554291","-0.7787949524724611","-0.5484977821191799"
"282000","-0.6498099610650397","-0.7836214702464859","-0.5075988171693815"
"284000","-0.605311564627871","-0.719156305723116","-0.44457360090476244"
"286000","-0.5895891259157109","-0.7246242014779056","-0.3833090180896479"
"288000","-0.5992103730292782","-0.7150923242624274","-0.4051373792027924"
"290000","-0.5630224783086262","-0.6784143857658789","-0.3572490755447987"
"292000","-0.5043945706712488","-0.6326457125169072","-0.2777775630269069"
"294000","-0.49214752952123514","-0.6059130017289971","-0.27274999292105057"
"296000","-0.48669892201023685","-0.5882046916804169","-0.29320233684362473"
"298000","-0.4928125150723673","-0.6196172959392193","-0.2659280165115474"
"300000","-0.46636440317519035","-0.5961754408313584","-0.2775941783136791"
"302000","-0.45381118074745097","-0.5836250629436982","-0.2663982990345089"
"304000","-0.40578383891177","-0.5165780200394938","-0.22726283251614615"
"306000","-0.39236020470081634","-0.48274746557466197","-0.24690967166240652"
"308000","-0.3793913074295739","-0.4462678772998761","-0.2574612674519886"
"310000","-0.3933118133687418","-0.4607144177052067","-0.2762383588519297"
"312000","-0.4078386341812035","-0.4994272527485844","-0.2955383035954438"
"314000","-0.3896210624304328","-0.45684580288306803","-0.3118852874485021"
"316000","-0.3461526988975696","-0.434070458513688","-0.27000019641805956"
"318000","-0.36113694450719686","-0.44089189418550956","-0.28304907190488704"
"320000","-0.36795800034619025","-0.43589466405597965","-0.3173926611821265"
