"Step","Grouped runs - mean_total_return_100","Grouped runs - mean_total_return_100__MIN","Grouped runs - mean_total_return_100__MAX"
"2000","0.07225736165499605","-0.09715432765161883","0.1595695405215901"
"4000","-0.07683040384610139","-0.20077608086014928","0.035595823072310996"
"6000","-0.1577754572094969","-0.3048463773257688","-0.05185966166626184"
"8000","-0.20892005537856126","-0.3153298932784876","-0.11164328439134663"
"10000","-0.2610895421047245","-0.3491912140066914","-0.20742266599735829"
"12000","-0.33184235691050246","-0.4486519491721319","-0.22327949680471196"
"14000","-0.37394740258052955","-0.5335018797837737","-0.2318080905788987"
"16000","-0.428398122795854","-0.5544608785063413","-0.29585457726257675"
"18000","-0.47843121023801055","-0.6066570316527884","-0.36936326841242256"
"20000","-0.4811613977511732","-0.619063818646874","-0.38962962381029614"
"22000","-0.5052545144254567","-0.6398739707647401","-0.42463395475370663"
"24000","-0.5181136327249302","-0.6497282932488918","-0.43801451870587577"
"26000","-0.5418556159301436","-0.6851452170599722","-0.4472955428066486"
"28000","-0.5925076409049709","-0.709036770919198","-0.5213489433533016"
"30000","-0.6315740220636973","-0.7296626305679286","-0.5718058097582238"
"32000","-0.669983908958154","-0.7675314320796102","-0.6147330889445599"
"34000","-0.7048325434401241","-0.8054914462111391","-0.6362227322681662"
"36000","-0.7150158369546724","-0.7930816658218934","-0.6410971886827262"
"38000","-0.7373055260127135","-0.7882545259351278","-0.6632186305154606"
"40000","-0.7373593122046214","-0.8222855447269685","-0.6177609786036954"
"42000","-0.7415787074107905","-0.8400180968656865","-0.6142669083402968"
"44000","-0.7219867875564036","-0.8296871757631229","-0.606223919970621"
"46000","-0.7681635340039127","-0.8713503978203343","-0.6561472567049175"
"48000","-0.7628097201219508","-0.8329266030011465","-0.654771712589234"
"50000","-0.7678368486766939","-0.876437267353279","-0.6320845138109766"
"52000","-0.7806910352815183","-0.8994552171700683","-0.63791266156537"
"54000","-0.8097128519096074","-0.9573062599179031","-0.6463416892142455"
"56000","-0.8215729848100041","-0.9638651641653851","-0.6631419750515165"
"58000","-0.8082341532415341","-0.9382551119340949","-0.6489484516975343"
"60000","-0.7991706336568023","-0.9152283422734488","-0.6303153756889793"
"62000","-0.8087054457078341","-0.9118662411571148","-0.6443594743905403"
"64000","-0.816349627245152","-0.9140146934274327","-0.6542032888681996"
"66000","-0.8165620185713242","-0.911072636829835","-0.6999356045447968"
"68000","-0.8245885635524107","-0.9202782314987528","-0.7442892134446629"
"70000","-0.8425713204065971","-1.0030995268261607","-0.7234218962605847"
"72000","-0.8307472170248222","-0.9963510624054901","-0.713309737534949"
"74000","-0.8282510225334011","-0.9792805598657037","-0.7021679098457106"
"76000","-0.828596815869957","-0.9916407084828355","-0.6993759315014866"
"78000","-0.8222601062840481","-0.9473817047191951","-0.7184217607095741"
"80000","-0.8114793407958754","-0.9664867272755765","-0.695818429972378"
"82000","-0.8110548456497599","-0.9988381850797954","-0.6793378794676227"
"84000","-0.8133381363515536","-1.0222717859713033","-0.6888070607421448"
"86000","-0.8171468422914042","-1.0261569406069269","-0.6968144808314733"
"88000","-0.8023281152970508","-1.00811281878498","-0.6604105333888198"
"90000","-0.7917962500958371","-0.985381707170539","-0.6868561709174225"
"92000","-0.7815531900913885","-0.9636197924333113","-0.6725165816831847"
"94000","-0.7670039611133753","-0.9572192160226126","-0.6208698537281839"
"96000","-0.7340581733716824","-0.8944889154835306","-0.6019161040200103"
"98000","-0.7365987913966833","-0.8769176847164977","-0.6351267577455252"
"100000","-0.7255988178597591","-0.8591854983988442","-0.6323331541902867"
"102000","-0.724781821322777","-0.8412495343105937","-0.6364669648556354"
"104000","-0.7260516924109678","-0.8530765712424718","-0.6410731151839043"
"106000","-0.7150599689835201","-0.8069414111166797","-0.6685724588431363"
"108000","-0.7119231606026512","-0.790887718278549","-0.6365301549033363"
"110000","-0.7049881583111675","-0.7838880158292372","-0.6133758174537985"
"112000","-0.7181257689722096","-0.7965056569896324","-0.6205848646573545"
"114000","-0.7392037627845575","-0.7983055291603525","-0.6714701339819699"
"116000","-0.77724020939606","-0.8606920550323598","-0.6716022614923682"
"118000","-0.7848147075250814","-0.8585636376802326","-0.665804437940828"
"120000","-0.7936315942350798","-0.8455176436408405","-0.7064364713308217"
"122000","-0.8129235658817214","-0.8651287206657697","-0.733075189945188"
"124000","-0.8146986545749509","-0.890380305032306","-0.7287436150939139"
"126000","-0.8268601152498599","-0.8951845691257933","-0.7355627595790866"
"128000","-0.8156285728624209","-0.9171476372946799","-0.7263418485113791"
"130000","-0.8156558922332703","-0.9146837335130324","-0.7528806269924817"
"132000","-0.820544576167001","-0.9300715175667496","-0.7437714077865669"
"134000","-0.8129917172020177","-0.9304777624114134","-0.7487649329141286"
"136000","-0.8316210710601434","-0.92188905199158","-0.766685792953459"
"138000","-0.82691908728911","-0.9583262452825797","-0.71431062305461"
"140000","-0.7903426012123704","-0.8995688907770838","-0.7080404747356265"
"142000","-0.7748668986231091","-0.8711351522506612","-0.6817610268591564"
"144000","-0.7742256497887947","-0.8772419404004852","-0.667359627326598"
"146000","-0.7776915723185672","-0.845772604670705","-0.6870376775979562"
"148000","-0.7718574284272041","-0.8530681128539237","-0.6611528060257729"
"150000","-0.7651602826674843","-0.8351061117022023","-0.6370623164274866"
"152000","-0.7709732466803599","-0.8810363473778413","-0.6031330615271105"
"154000","-0.7869384033317931","-0.8825113926406335","-0.6210567467685868"
"156000","-0.7888810646022636","-0.8804116961946146","-0.6165056020477312"
"158000","-0.7828688968855277","-0.888983178012257","-0.5815245912445641"
"160000","-0.7809232330882137","-0.8718473007716452","-0.6059057553799615"
"162000","-0.7935793776926615","-0.8871229102400268","-0.6145981567113233"
"164000","-0.7827555377970126","-0.8850883552396523","-0.6281281772007618"
"166000","-0.7680775152706244","-0.8565474210092574","-0.6284527397247729"
"168000","-0.7749169749948202","-0.8443100690725036","-0.64214248028741"
"170000","-0.7687700650431318","-0.848921908272459","-0.6208842391155777"
"172000","-0.7670247095303179","-0.8787844197976582","-0.6107639001926473"
"174000","-0.7819397272724747","-0.8691428709033124","-0.6766843921126094"
"176000","-0.7853235079603333","-0.8512091713972686","-0.7281260421773307"
"178000","-0.7829458186044108","-0.8196559368537122","-0.7460173130027917"
"180000","-0.76141412320462","-0.8064262382419006","-0.7166732263519525"
"182000","-0.7508342499093033","-0.7644977641131888","-0.7368856846477905"
"184000","-0.7667338278093521","-0.8321194933618767","-0.7289344998341509"
"186000","-0.7716249725948333","-0.8265852663594312","-0.7419603691878617"
"188000","-0.7586178591349135","-0.8095545688363244","-0.7139256599411762"
"190000","-0.7418091825675548","-0.775747374680676","-0.7062648870618594"
"192000","-0.782292812500442","-0.8355626230507479","-0.7310667339297368"
"194000","-0.797391669034529","-0.8418180427595966","-0.720654107496012"
"196000","-0.8078764040677683","-0.868321847410511","-0.7153391790121968"
"198000","-0.8123505938447947","-0.902552511075041","-0.7127777373019879"
"200000","-0.8175808438184765","-0.9078067339335416","-0.7105700238794048"
"202000","-0.8331146918954936","-0.9159180887120699","-0.7396693136074696"
"204000","-0.8190410993268388","-0.9116412827393531","-0.703267256683278"
"206000","-0.8283263070877172","-0.9567475747725683","-0.6933638804840118"
"208000","-0.8413762440671647","-0.9639130138121534","-0.7024642352227781"
"210000","-0.8358377175619313","-0.9505829493017357","-0.7226703334504759"
"212000","-0.8374724304495414","-0.9572826101934316","-0.7180273781352426"
"214000","-0.8390541586103967","-0.9683852612296985","-0.7256699503275579"
"216000","-0.8321915521058624","-0.9556824021120782","-0.7018509654299834"
"218000","-0.815969247529681","-0.9351860618951168","-0.6954783499149033"
"220000","-0.809867478143846","-0.9050162565082563","-0.7077887065758824"
"222000","-0.8086337791208676","-0.8619673903110077","-0.7447316555463019"
"224000","-0.7784863439953483","-0.832357573359658","-0.7085919166191715"
"226000","-0.7694367088909712","-0.8079335306719712","-0.6992407057767736"
"228000","-0.7685808178816772","-0.8262404316672892","-0.7059244538985658"
"230000","-0.757565890839631","-0.8087135780709691","-0.6806584156585703"
"232000","-0.7552856594770029","-0.7950292978468245","-0.718193168549744"
"234000","-0.7393224382116047","-0.78304043713398","-0.7069267627845316"
"236000","-0.7502474864530941","-0.807242650801546","-0.7206304318804694"
"238000","-0.7379092780798583","-0.8164764256043137","-0.6597429375177277"
"240000","-0.7608492034981845","-0.8469644068384767","-0.686746916372917"
"242000","-0.7678695884903464","-0.8425575782904899","-0.6640654812418272"
"244000","-0.7832506440947881","-0.9090423878141708","-0.6364955220428462"
"246000","-0.7756831503112472","-0.9492640946441214","-0.5991045444436741"
"248000","-0.7815256295680526","-0.9467112540363763","-0.6316965721077491"
"250000","-0.8060129212754775","-1.0293959399775632","-0.5906942737448337"
"252000","-0.7992953658538715","-1.0156518739977183","-0.5797085129997821"
"254000","-0.7954434209987523","-1.042408958233733","-0.5549521315355622"
"256000","-0.7951886731133824","-1.0547617675747676","-0.541876277345309"
"258000","-0.7955134471896764","-1.0821833858748386","-0.5265189956607508"
"260000","-0.8251685735829962","-1.112016076284778","-0.5502905794445402"
"262000","-0.8171108369013114","-1.0814278653064968","-0.5640992117880866"
"264000","-0.8204229290102821","-1.0892713797262978","-0.5598695369871725"
"266000","-0.8080434622166077","-1.050121812937111","-0.5641236328397512"
"268000","-0.7971294967927124","-1.051313815989748","-0.5515818465873068"
"270000","-0.7680147382498911","-1.008068127793942","-0.5374937165892311"
"272000","-0.7732854976815533","-0.9752897160920382","-0.5893462113933032"
"274000","-0.7719589743185318","-0.9838910355958661","-0.604841121220728"
"276000","-0.7446020074636621","-0.9295593442531528","-0.6186092800831664"
"278000","-0.7554045579778591","-0.904174820336134","-0.6681622986866463"
"280000","-0.7389033475394428","-0.8676595765153603","-0.6443761638788851"
"282000","-0.7323997354905667","-0.8507034163498665","-0.6387149071612799"
"284000","-0.7235030276261177","-0.8178346978669169","-0.6502242864295197"
"286000","-0.6877844990417751","-0.8074609045338463","-0.5989254750899016"
"288000","-0.672679096037577","-0.803588689429615","-0.5830415767728153"
"290000","-0.6786634156815676","-0.825421083039592","-0.5826388204409776"
"292000","-0.6644634368668357","-0.8137393215395738","-0.5638793286015314"
"294000","-0.6672057677965636","-0.8123084086411414","-0.5663818181999996"
"296000","-0.6696447290783226","-0.7755661832768408","-0.5701373430027196"
"298000","-0.6714878310515348","-0.7796959082897692","-0.5876279152208043"
"300000","-0.6659785991158412","-0.7562398631004786","-0.6041245436123098"
"302000","-0.6520525609591324","-0.7305089967777455","-0.6020610874548041"
"304000","-0.6401009857019981","-0.727943721452319","-0.5941384607252153"
"306000","-0.6272341363133913","-0.732972687498651","-0.5376184842938705"
"308000","-0.6196477832927897","-0.7047235072122265","-0.5495413010892646"
"310000","-0.6193185939919982","-0.7228719477967546","-0.5664139636045277"
"312000","-0.6408324530439263","-0.7563084671215339","-0.5681480531071411"
"314000","-0.6396773035388664","-0.7596822886353194","-0.5684571487463622"
"316000","-0.6459393473365928","-0.7727812850572238","-0.5630456020485223"
"318000","-0.6507109318976244","-0.7587415402314811","-0.5661459135863776"
"320000","-0.6544501334094834","-0.7676699097826214","-0.5826828300111463"
"322000","-0.65576921202576","-0.7994666669557056","-0.5685730315576774"
"324000","-0.6391448049720548","-0.8103000177937513","-0.5335373479881208"
"326000","-0.6525301243548397","-0.8178508585300713","-0.5162794243748183"
"328000","-0.6697380709288984","-0.8451635549402867","-0.520523687418461"
"330000","-0.689798412078184","-0.8371183347053898","-0.5352919632699535"
"332000","-0.6984966041549532","-0.8667748998745881","-0.5344867593455905"
"334000","-0.6970921447309352","-0.8499297449004444","-0.5122654722155964"
"336000","-0.7064872723392667","-0.8780312704807066","-0.5426769432074663"
"338000","-0.7006832961239114","-0.884650210567506","-0.5166624483844071"
"340000","-0.6871308770696523","-0.8846330506406265","-0.5182914436104534"
"342000","-0.6804373225711743","-0.8425932143062709","-0.5069241938214033"
"344000","-0.6881603170220659","-0.891461612387068","-0.48856109308907575"
"346000","-0.6867034485207076","-0.8862977334472549","-0.47435052864057764"
"348000","-0.673405915699259","-0.8521646979382228","-0.4428793679430423"
"350000","-0.6741960558715308","-0.8141311688077137","-0.46191119030790406"
"352000","-0.6782102844546504","-0.7926066233876728","-0.47440141833631894"
"354000","-0.664576267277492","-0.7736734507313541","-0.469869055201417"
"356000","-0.6702617130533369","-0.7912753821997055","-0.435685266597019"
"358000","-0.6487426116295053","-0.7649295417404981","-0.4229417783163925"
"360000","-0.6562259346633611","-0.7808680576678496","-0.4281974525289874"
"362000","-0.6608173278805293","-0.7782992005400743","-0.4514921330468527"
"364000","-0.6579003117310244","-0.7613622358098661","-0.46182606442952046"
"366000","-0.6491985524945076","-0.7690462357295479","-0.4530599809210177"
"368000","-0.6582434371688893","-0.7867987577539466","-0.46999123999303855"
"370000","-0.6429398717269753","-0.7630698736168858","-0.4505237439164398"
"372000","-0.6510414868932713","-0.7598742802221023","-0.4708785838145036"
"374000","-0.6430800176595974","-0.7412862266108584","-0.48949426975752286"
"376000","-0.625736910753162","-0.7510599600919831","-0.48550909978611934"
"378000","-0.6200679368633453","-0.7541088851949954","-0.47327028267202015"
"380000","-0.6160339769716617","-0.7567803079269559","-0.49519308555210634"
"382000","-0.6157205146295296","-0.7537660014442156","-0.5201912754429258"
"384000","-0.6246316903069299","-0.7578722462326286","-0.5379563125862377"
"386000","-0.61560517715115","-0.746443851836068","-0.5332602939635442"
"388000","-0.6017361490781781","-0.7842339185405075","-0.4762142437423623"
"390000","-0.5908952890506298","-0.7201662387292386","-0.5247031011849919"
"392000","-0.6307826751557877","-0.816468532683016","-0.5312426860164315"
"394000","-0.6285547190170546","-0.8101553897814966","-0.4984737996339746"
"396000","-0.6518462589143806","-0.8277565333252467","-0.48863230346158437"
"398000","-0.643039928285986","-0.7857082203309007","-0.45732243035551756"
"400000","-0.6387667233666614","-0.7520749036685055","-0.4503582529239633"
"402000","-0.6354674353593124","-0.7316859974303239","-0.4578435069088877"
"404000","-0.6344079068635589","-0.7369725998958878","-0.44260515997750877"
"406000","-0.6512424312877362","-0.7864305115439879","-0.4723976483508208"
"408000","-0.6384557205247551","-0.7945116420313822","-0.4587594429042124"
"410000","-0.6314040797262647","-0.7966360265600155","-0.4544656884250262"
"412000","-0.6233582328013249","-0.7931021517211153","-0.4330376402321211"
"414000","-0.6207495961697928","-0.7976330833177225","-0.393801182633871"
"416000","-0.6315968130458425","-0.818772908498818","-0.398817658854355"
"418000","-0.6253332968884866","-0.7774465015881592","-0.4351048296303583"
"420000","-0.6450385840896177","-0.8008519766087636","-0.48341200315819366"
"422000","-0.6389252057823063","-0.7826255572247135","-0.5074593979448622"
"424000","-0.6403486661431724","-0.8018160309510276","-0.5133756679489239"
"426000","-0.6481540272019911","-0.8172387253397555","-0.5572666035061793"
"428000","-0.6489480570412659","-0.8691739897136986","-0.532111614408097"
"430000","-0.6204210755089158","-0.8633394396135178","-0.46450016253213955"
"432000","-0.6066312977114877","-0.8507118267160481","-0.44993980365566055"
"434000","-0.6126617196147806","-0.8424027543438464","-0.4545377177626648"
"436000","-0.6306640019406781","-0.8404028222048053","-0.5059116630530427"
"438000","-0.6129727055489624","-0.8319890437372183","-0.47587008201322567"
"440000","-0.6256929303653956","-0.8129143131842977","-0.5082326519454307"
"442000","-0.6047756778405159","-0.7554924439362477","-0.47654492174940394"
"444000","-0.5987603555877313","-0.7517604705514925","-0.43583659296542615"
"446000","-0.5730640889511746","-0.7175885394942553","-0.419411343380152"
"448000","-0.5573666008909434","-0.6931886963777752","-0.4283849118231233"
"450000","-0.5478798700935426","-0.6755978248941757","-0.4156590367239336"
"452000","-0.5283296075678655","-0.6365994639848779","-0.3836155325109042"
"454000","-0.5472176434284475","-0.6256746417651431","-0.42474322895797856"
"456000","-0.5749306384546254","-0.6398209627337911","-0.49593596585055144"
"458000","-0.5814046365952532","-0.6520119039061292","-0.46183545723424557"
"460000","-0.5956380630473945","-0.7141308242593122","-0.4607053818551309"
"462000","-0.5997948057067165","-0.7313934273569599","-0.4760779690729289"
"464000","-0.6280880355056468","-0.77975414053913","-0.49765929535276454"
"466000","-0.6140549871160624","-0.8005881922922445","-0.4250189488577938"
"468000","-0.625596254923274","-0.8324817801733669","-0.3926568830940061"
"470000","-0.6414956467187294","-0.7977683206306808","-0.4465946182593591"
"472000","-0.6487458747218618","-0.8101916255422578","-0.49363106790745753"
"474000","-0.6507600399031942","-0.8472161864996007","-0.4715546415925884"
"476000","-0.6478737644783678","-0.8502255059323044","-0.45616972002553946"
"478000","-0.6435940826726766","-0.8250997208148886","-0.4938317311490191"
"480000","-0.6556532265020888","-0.8446677338676085","-0.47881867728570987"
"482000","-0.6313147993965816","-0.7915025312385506","-0.44824860800665384"
"484000","-0.611903360476472","-0.7989626102537479","-0.398464911545573"
"486000","-0.6120692420090924","-0.8319907254706235","-0.3773432445218976"
"488000","-0.6165759948957757","-0.8469198645778853","-0.3881325117735732"
"490000","-0.6322324740126745","-0.8709211069865875","-0.39943766425808386"
"492000","-0.6291249375006283","-0.8755712837674426","-0.40076317707986986"
"494000","-0.639931177975816","-0.8894904739538623","-0.4125140278402949"
"496000","-0.6169051452266568","-0.8503032149160097","-0.38362621485390697"
"498000","-0.6366024826877484","-0.882398115120266","-0.3781702183610294"
"500000","-0.6374370414715785","-0.8971638539509498","-0.3582071027033739"
"502000","-0.6303727229606032","-0.912321918409469","-0.31143103079262763"
"504000","-0.6405200628218509","-0.9248788397471709","-0.3054181559644262"
"506000","-0.6617186185819993","-0.9324373505831501","-0.3408111652924922"
"508000","-0.6260319060607021","-0.9117877697476398","-0.28370213923694204"
"510000","-0.647750448104372","-0.9335349126827517","-0.33352456033041344"
"512000","-0.6406711116839627","-0.9042110432940266","-0.36057442466543016"
"514000","-0.6044383536708411","-0.8256977087094296","-0.3399074587583397"
