"Step","Grouped runs - collection/reward/mean_ext_return_100","Grouped runs - collection/reward/mean_ext_return_100__MIN","Grouped runs - collection/reward/mean_ext_return_100__MAX"
"2000","-0.8999956846237183","-1.199995756149292","-0.5999956130981445"
"4000","-1.3499957025051117","-1.79999577999115","-0.8999956250190735"
"6000","-1.7999957308173484","-2.999995787938436","-0.5999956736962607"
"8000","-1.9499956447631348","-2.3999957740306854","-1.4999955154955842"
"10000","-1.919995659887809","-2.39999577999115","-1.439995539784468"
"12000","-2.0999956083794586","-2.3999957044919333","-1.7999955122669842"
"14000","-2.1857099322336193","-2.2285671404429843","-2.142852724024254"
"16000","-2.1374956408515686","-2.174995720386505","-2.099995561316632"
"18000","-1.9333289878235922","-1.999995728333791","-1.8666622473133936"
"20000","-2.1899956718087195","-2.3399957358837127","-2.0399956077337267"
"22000","-2.154541114514524","-2.290904798290946","-2.018177430738102"
"24000","-2.174995642155409","-2.3499956876039505","-1.9999955967068672"
"26000","-2.1461494943270316","-2.215380306427295","-2.076918682226768"
"28000","-2.228567086160183","-2.2714241977248872","-2.1857099745954787"
"30000","-2.2399956156810124","-2.3199955840905506","-2.159995647271474"
"32000","-2.193745614029467","-2.2874955739825964","-2.099995654076338"
"34000","-2.135289743542671","-2.2235250034753014","-2.047054483610041"
"36000","-2.033328967086138","-2.133328932854864","-1.9333290013174116"
"38000","-2.0210482573430744","-2.0842061278067137","-1.9578903868794346"
"40000","-1.9799956296756818","-1.9799956458061843","-1.9799956135451793"
"42000","-1.9857099257409507","-2.0857099481281693","-1.8857099033537321"
"44000","-1.9090865414589602","-2.018177472935473","-1.7999956099824472"
"46000","-1.9043434493243656","-2.034778249198968","-1.7739086494497631"
"48000","-1.9874956307622256","-2.1499956512823624","-1.8249956102420886"
"50000","-2.0039956281483136","-2.1359956421255992","-1.871995614171028"
"52000","-2.0653802429540766","-2.215380252725796","-1.9153802331823568"
"54000","-2.055551182147526","-2.155551187583687","-1.9555511767113651"
"56000","-2.046424203499084","-2.1214242078896013","-1.9714241991085666"
"58000","-2.1310301256847763","-2.2137887489692853","-2.048271502400267"
"60000","-2.1399956403424314","-2.239995639671876","-2.0399956410129865"
"62000","-2.1580601525162466","-2.303221442189903","-2.0128988628425906"
"64000","-2.146870624111031","-2.249995631305495","-2.043745616916567"
"66000","-2.1454501710380542","-2.218177449658056","-2.072722892418052"
"68000","-2.1264662092441995","-2.2058779782670332","-2.0470544402213657"
"70000","-2.1085670469701263","-2.2114241882307137","-2.0057099057095393"
"72000","-2.10832894661774","-2.2499956100765153","-1.9666622831589646"
"74000","-2.0594550737456685","-2.1891847997501066","-1.9297253477412302"
"76000","-2.0526271897515174","-2.163153505991946","-1.9421008735110885"
"78000","-2.0461494551828263","-2.1384571534318777","-1.9538417569337747"
"80000","-2.077495613303034","-2.114995618499813","-2.0399956081062554"
"82000","-2.085361462886013","-2.1365809807326714","-2.034141945039354"
"84000","-2.049995612903011","-2.114281332528305","-1.9857098932777175"
"86000","-2.0232514299105775","-2.093018877263677","-1.9534839825574783"
"88000","-2.01135925306854","-2.059086527641522","-1.9636319784955587"
"90000","-1.979995615300206","-2.0266622811224706","-1.9333289494779415"
"92000","-1.9630390914399996","-2.0086912593439847","-1.9173869235360144"
"94000","-1.9659530637904696","-2.0042509299960525","-1.9276551975848866"
"96000","-1.9562456164043407","-1.9999956118874234","-1.912495620921258"
"98000","-1.9591792916308868","-1.971424182124282","-1.9469344011374918"
"100000","-1.9919956109076749","-2.0159955992996674","-1.967995622515682"
"102000","-1.9941132580094487","-2.0352897190872343","-1.952936796931663"
"104000","-1.9903802272935336","-2.007687909356675","-1.973072545230392"
"106000","-1.9754673095103712","-2.0150899361045838","-1.9358446829161589"
"108000","-1.9611067208978865","-1.9777733765818422","-1.9444400652139309"
"110000","-1.9527228838560942","-1.9636319860003244","-1.941813781711864"
"112000","-1.94463846575236","-1.9607099045068057","-1.9285670269979147"
"114000","-1.9578903480400256","-1.989469307085927","-1.9263113889941244"
"116000","-1.9551680227629205","-1.9758576920834112","-1.93447835344243"
"118000","-1.962707477689611","-2.0135549514475546","-1.9118600039316673"
"120000","-1.9499956116902961","-1.9899956291417311","-1.909995594238861"
"122000","-1.9770447920412444","-1.9967169434809324","-1.9573726406015564"
"124000","-1.9838665767858235","-1.983866597904316","-1.9838665556673307"
"126000","-1.957138468829235","-1.9619003540141464","-1.9523765836443234"
"128000","-1.9546831133848173","-1.97812059392745","-1.9312456328421845"
"130000","-1.938457152942339","-1.9661494425770167","-1.9107648633076608"
"132000","-1.9227228893771415","-1.9363592348908119","-1.9090865438634712"
"134000","-1.911935914570548","-1.916413510971657","-1.9074583181694387"
"136000","-1.9191132588709199","-1.9235250082661304","-1.9147015094757094"
"138000","-1.9434738761556416","-1.9565173701963576","-1.9304303821149256"
"140000","-1.9414241873645874","-1.9457099151611341","-1.937138459568041"
"142000","-1.9436575877270321","-1.9521082766170406","-1.9352068988370237"
"144000","-1.9624956198308294","-1.9833289393663576","-1.9416623002953013"
"146000","-1.9561599997076358","-1.972598341283423","-1.9397216581318488"
"148000","-1.9662118310322723","-1.9702658994777795","-1.9621577625867648"
"150000","-1.9519956165415533","-1.9599956309000663","-1.9439956021830402"
"152000","-1.953942982172347","-1.9815745717600783","-1.926311392584616"
"154000","-1.9363592490420798","-1.9714241928868492","-1.9012943051973106"
"156000","-1.9384571496170384","-1.9769186976628437","-1.8999956015712332"
"158000","-1.9291095355325192","-1.9746791655504263","-1.8835399055146118"
"160000","-1.923745611949124","-1.9799956205487264","-1.867495603349522"
"162000","-1.9333289426475475","-2.0074030266867755","-1.8592548586083197"
"164000","-1.931702921199952","-2.0121907347586108","-1.851215107641293"
"166000","-1.9373449990963438","-2.0313209111432005","-1.8433690870494874"
"168000","-1.9357098872163545","-2.0285670405342477","-1.8428527338984613"
"170000","-1.9447014849731579","-2.0541132635228783","-1.8352897064234373"
"172000","-1.929065371310164","-2.030228175153567","-1.827902567466761"
"174000","-1.9103404308583616","-2.013788719047076","-1.806892142669647"
"176000","-1.912495602706488","-2.0113592538305314","-1.8136319515824446"
"178000","-1.9348270629616335","-2.0494338218080874","-1.8202203041151794"
"180000","-1.923328935873383","-2.0399956197539977","-1.806662251992768"
"182000","-1.9252703303051586","-2.0175780378200208","-1.8329626227902966"
"184000","-1.927169518161604","-2.028256488170314","-1.8260825481528944"
"186000","-1.9322536679255131","-2.038705296990693","-1.825802038860333"
"188000","-1.9276551758246283","-2.0361658302393377","-1.8191445214099191"
"190000","-1.9263113858090013","-2.033679823436236","-1.8189429481817665"
"192000","-1.924995593281345","-2.0312456084415325","-1.8187455781211572"
"194000","-1.9113358002856897","-2.0164904550793255","-1.806181145492054"
"196000","-1.8979547767662344","-1.9959139768870537","-1.799995576645415"
