"Step","Grouped runs - collection/reward/mean_total_return_100","Grouped runs - collection/reward/mean_total_return_100__MIN","Grouped runs - collection/reward/mean_total_return_100__MAX"
"2000","-0.8999956846237183","-1.199995756149292","-0.5999956130981445"
"4000","-1.2767548710107803","-1.7871814966201782","-0.7663282454013824"
"6000","-1.8238641781111558","-3.1487185955047607","-0.49900976071755093"
"8000","-1.9911634596064687","-2.628748297691345","-1.3535786215215921"
"10000","-1.9671121694147589","-2.5327925205230715","-1.401431818306446"
"12000","-2.146467216933767","-2.51574969291687","-1.7771847409506638"
"14000","-2.2264868090195313","-2.3224525111062184","-2.1305211069328442"
"16000","-2.1613162071444094","-2.266447424888611","-2.056184989400208"
"18000","-1.953356106248167","-2.074861725171407","-1.8318504873249266"
"20000","-2.1957047693431377","-2.398489844799042","-1.9929196938872338"
"22000","-2.1534083262085915","-2.335344672203064","-1.971471980214119"
"24000","-2.1770924075196185","-2.3900695542494454","-1.9641152607897918"
"26000","-2.1412045961389174","-2.2388961704877706","-2.0435130217900643"
"28000","-2.2188487824584753","-2.235265407179083","-2.202432157737868"
"30000","-2.2290913785497346","-2.283705519636472","-2.1744772374629973"
"32000","-2.1820021239109337","-2.2496079048141837","-2.1143963430076838"
"34000","-2.1232557862120514","-2.1871879162157284","-2.0593236562083748"
"36000","-2.026809435389522","-2.108595516118738","-1.9450233546603057"
"38000","-2.0171693983536803","-2.06589585150543","-1.9684429452019303"
"40000","-1.9742155874613672","-1.988320151064545","-1.9601110238581896"
"42000","-1.9817716640287213","-2.097699247744112","-1.8658440803133307"
"44000","-1.904875640953171","-2.028585802509703","-1.7811654793966392"
"46000","-1.9041390413590504","-2.0503045787791843","-1.7579735039389166"
"48000","-1.9880310738856983","-2.1666540504277996","-1.8094080973435969"
"50000","-2.0058710880065336","-2.153835797384381","-1.857906378628686"
"52000","-2.063822752675221","-2.2261040257290006","-1.9015414796214407"
"54000","-2.0541126679292776","-2.16456615490218","-1.9436591809563752"
"56000","-2.0462420322874095","-2.1307834387490794","-1.96170062582574"
"58000","-2.128959408692277","-2.2229094012672532","-2.0350094161173007"
"60000","-2.1388763443450447","-2.2492866993571323","-2.0284659893329566"
"62000","-2.156732158874342","-2.3132304222953897","-2.000233895453294"
"64000","-2.1432722281497263","-2.257308557687793","-2.0292358986116596"
"66000","-2.1417216492259423","-2.2241313819293724","-2.059311916522512"
"68000","-2.1207751961157877","-2.2116188056876553","-2.02993158654392"
"70000","-2.1022250078252647","-2.2176855666829005","-1.9867644489676293"
"72000","-2.1021615677260947","-2.256588210713946","-1.9477349247382436"
"74000","-2.0530790655426934","-2.1958333617579697","-1.910324769327417"
"76000","-2.045988710404153","-2.1679058805549225","-1.924071540253384"
"78000","-2.0381483069818036","-2.142648795595727","-1.9336478183678805"
"80000","-2.069665594495018","-2.1194550642045216","-2.0198761247855144"
"82000","-2.0750432480609318","-2.139077216500371","-2.0110092796214922"
"84000","-2.040116312251138","-2.1159360871118094","-1.9642965373904666"
"86000","-2.013479521110935","-2.0957999514675762","-1.9311590907542944"
"88000","-2.001603403554658","-2.0609966375314714","-1.9422101695778442"
"90000","-1.9690304256173679","-2.0259082093213996","-1.9121526419133361"
"92000","-1.952519505246765","-2.0082368320461526","-1.8968021784473776"
"94000","-1.9550734000661945","-2.003658775418521","-1.9064880247138678"
"96000","-1.9455901362647032","-1.9977874570564988","-1.8933928154729074"
"98000","-1.948909751921227","-1.9680593306654874","-1.9297601731769665"
"100000","-1.9814264294528403","-2.011482596490532","-1.9513702624151483"
"102000","-1.9850564713010053","-2.031319679089767","-1.9387932635122436"
"104000","-1.9804869583615354","-2.002271089505834","-1.9587028272172364"
"106000","-1.9649988774864777","-2.009813067011254","-1.9201846879617013"
"108000","-1.9511373708805033","-1.972306756319961","-1.9299679854410459"
"110000","-1.9427022798346694","-1.9494740608613939","-1.935930498807945"
"112000","-1.9354922840492301","-1.9475761793562145","-1.9234083887422457"
"114000","-1.9491499343319192","-1.9774590974322341","-1.9208407712316042"
"116000","-1.9468527040464387","-1.964809250524107","-1.9288961575687702"
"118000","-1.9536745856235878","-2.0014245038323293","-1.905924667414846"
"120000","-1.9404370044532697","-1.9773371649789624","-1.903536843927577"
"122000","-1.9660494830631117","-1.982492672909265","-1.9496062932169584"
"124000","-1.9717710272788311","-1.9769197968435623","-1.9666222577140997"
"126000","-1.9442659751161018","-1.9544386046953381","-1.9340933455368652"
"128000","-1.9416856889019982","-1.9696584322227864","-1.91371294558121"
"130000","-1.9252579448189442","-1.9575221095377435","-1.892993780100145"
"132000","-1.9100841232875334","-1.9289817529391835","-1.891186493635883"
"134000","-1.899283782191533","-1.9093283939022403","-1.8892391704808253"
"136000","-1.9070564064570457","-1.9162165425471305","-1.8978962703669608"
"138000","-1.9326543301441774","-1.941516559884843","-1.923792100403512"
"140000","-1.930506341254139","-1.931393737282737","-1.929618945225541"
"142000","-1.9336685012439003","-1.9454767678169087","-1.921860234670892"
"144000","-1.952221294543253","-1.976674087280925","-1.9277685018055815"
"146000","-1.9471163385219183","-1.9670317735752627","-1.927200903468574"
"148000","-1.956961923645419","-1.9580243840417195","-1.9558994632491187"
"150000","-1.9413636381318793","-1.9467125652637334","-1.9360147110000252"
"152000","-1.943453124762623","-1.9686441561115269","-1.9182620934137191"
"154000","-1.9252523466742102","-1.9582481212436234","-1.892256572104797"
"156000","-1.9281502286202084","-1.964945195424848","-1.8913552618155687"
"158000","-1.9182016272702007","-1.9613882196106347","-1.8750150349297667"
"160000","-1.9125100035584182","-1.9663678048556903","-1.8586522022611462"
"162000","-1.922181842171725","-1.9936882241278382","-1.850675460215612"
"164000","-1.9195465783875367","-1.9977100039406384","-1.841383152834435"
"166000","-1.9254134681920174","-2.017661367411198","-1.8331655689728368"
"168000","-1.9236098425365828","-2.0140909778225855","-1.8331287072505802"
"170000","-1.9326224211726668","-2.0393278877880863","-1.8259169545572471"
"172000","-1.9172464124926063","-2.015604854304192","-1.8188879706810206"
"174000","-1.898612395762573","-1.9992168367406804","-1.7980079547844656"
"176000","-1.9006324552452","-1.9971032907831778","-1.8041616197072223"
"178000","-1.9226554410958538","-2.034380672334725","-1.8109302098569826"
"180000","-1.9115390535638046","-2.025671527764967","-1.7974065793626424"
"182000","-1.9135849887267227","-2.002851053686035","-1.8243189237674104"
"184000","-1.9158278877388826","-2.01530185190242","-1.8163539235753452"
"186000","-1.9210339661635039","-2.0254784346012378","-1.8165894977257697"
"188000","-1.917087239667803","-2.023756621784451","-1.8104178575511547"
"190000","-1.9155002680643904","-2.0213446753026036","-1.809655860826177"
"192000","-1.9142386539594252","-2.018970080750781","-1.8095072271680692"
"194000","-1.9005007478444522","-2.0046216898727396","-1.7963798058161646"
"196000","-1.8872105194034758","-1.9838708993451366","-1.790550139461815"
"198000","-1.892077523113153","-1.9819546903347163","-1.8022003558915898"
"200000","-1.903596048419131","-1.998267605456058","-1.808924491382204"
"202000","-1.9095946923748124","-1.992300875976216","-1.8268885087734088"
"204000","-1.9291754938021768","-2.0132601835276","-1.8450908040767535"
"206000","-1.927546694773482","-2.057202766954433","-1.797890622592531"
"208000","-1.9203659364313355","-2.0541708455677146","-1.7865610272949561"
"210000","-1.9194864579767454","-2.061994426071178","-1.7769784898823127"
"212000","-1.9278401598066557","-2.0736191652412526","-1.7820611543720588"
"214000","-1.9162205195904245","-2.031806495755445","-1.8006345434254036"
"216000","-1.9201999199867714","-2.0464338546688667","-1.793965985304676"
"218000","-1.9532112330303062","-2.0760785584594124","-1.8303439076012"
"220000","-1.9358496233925688","-2.0470946895028463","-1.8246045572822913"
"222000","-1.9514297202334272","-2.065593421354424","-1.8372660191124306"
"224000","-1.9569397732720244","-2.0883936785603874","-1.8254858679836616"
"226000","-1.9551785273954738","-2.0649591528321616","-1.845397901958786"
"228000","-1.9501434446976054","-2.065897034301888","-1.8343898550933226"
"230000","-1.9292765973543284","-2.0363445185427556","-1.822208676165901"
"232000","-1.9377194987272377","-2.0479044078593143","-1.8275345895951614"
"234000","-1.952694927904522","-2.0533774768118747","-1.8520123789971694"
"236000","-1.9640305653156247","-2.057967706799973","-1.8700934238312765"
"238000","-1.9570606940926518","-2.050353718281258","-1.8637676699040457"
"240000","-1.9630873278097716","-2.080720237449277","-1.845454418170266"
"242000","-1.963181342309108","-2.0938943184842356","-1.8324683661339805"
"244000","-1.9780182913481257","-2.123957442641258","-1.8320791400549934"
"246000","-1.9684875188372097","-2.1295935708284377","-1.8073814668459818"
"248000","-1.9506538854143582","-2.123827100396156","-1.77748067043256"
"250000","-1.9505413439334371","-2.1419371300935746","-1.7591455577732995"
"252000","-1.9363866301835513","-2.148011823296547","-1.724761437070556"
"254000","-1.9361540683568457","-2.1349107617139818","-1.7373973749997094"
"256000","-1.9327131577790715","-2.1229493552446366","-1.7424769603135064"
"258000","-1.9268316646874883","-2.117600825428963","-1.7360625039460138"
"260000","-1.9080818238318897","-2.1043345481157303","-1.7118290995480492"
"262000","-1.898771335131023","-2.1165892404317854","-1.6809534298302606"
"264000","-1.9080675634206274","-2.092638881802559","-1.7234962450386957"
"266000","-1.923409202939365","-2.1045678240060806","-1.7422505818726495"
"268000","-1.9417785968841055","-2.1242237454652786","-1.7593334483029321"
"270000","-1.9543427246273497","-2.1374626767635347","-1.7712227724911644"
"272000","-1.9544284292520024","-2.1387809890508653","-1.7700758694531395"
"274000","-1.983958059034776","-2.1677242094278335","-1.8001919086417184"
"276000","-1.9870410538534633","-2.173120201230049","-1.8009619064768776"
"278000","-1.996618564806413","-2.168557499051094","-1.8246796305617317"
"280000","-1.9903386456589214","-2.144186308979988","-1.8364909823378548"
"282000","-1.9825306790857575","-2.158004581332207","-1.8070567768393084"
"284000","-2.006721497492399","-2.188053772523999","-1.8253892224607988"
"286000","-2.0187910360260863","-2.2009534353762863","-1.8366286366758868"
"288000","-2.027410348074045","-2.2179678577929733","-1.8368528383551166"
"290000","-2.046253618763294","-2.230800102427602","-1.8617071350989862"
"292000","-2.045627329663839","-2.223723721280694","-1.8675309380469844"
"294000","-2.0461249374295587","-2.200379778277129","-1.8918700965819881"
"296000","-2.0459891544724815","-2.2051579464785753","-1.8868203624663875"
"298000","-2.049126622870099","-2.1866627539508046","-1.911590491789393"
"300000","-2.0433694054628724","-2.1866810549609363","-1.9000577559648082"
"302000","-2.039531443908345","-2.1971267343871297","-1.8819361534295604"
"304000","-2.0368542193318717","-2.1791955853812395","-1.8945128532825037"
"306000","-2.0281818203884177","-2.1859595986269413","-1.870404042149894"
"308000","-2.03369328598259","-2.1789808495901526","-1.888405722375028"
"310000","-2.0479715535021388","-2.166624056901783","-1.9293190501024946"
"312000","-2.0743452993012035","-2.1950324829481542","-1.9536581156542525"
"314000","-2.0618110394454563","-2.1819716986082494","-1.9416503802826628"
"316000","-2.0522086422122086","-2.1870157488249244","-1.9174015355994924"
"318000","-2.0498486994183622","-2.163397312965244","-1.9363000858714805"
"320000","-2.0770282857096753","-2.193831686582416","-1.9602248848369346"
"322000","-2.080480952707585","-2.200470945443958","-1.960490959971212"
"324000","-2.060270861275494","-2.1965215559862554","-1.9240201665647327"
"326000","-2.096981694735587","-2.2454107057116928","-1.9485526837594807"
"328000","-2.118676622547209","-2.2759029625914993","-1.9614502825029194"
"330000","-2.1274694953858853","-2.2694459171406924","-1.985493073631078"
"332000","-2.1303676081751473","-2.275916380416602","-1.9848188359336927"
"334000","-2.148557735190261","-2.2818112952820955","-2.015304175098427"
"336000","-2.133343050444964","-2.256893867701292","-2.0097922331886364"
"338000","-2.099478568548802","-2.20727571323514","-1.9916814238624647"
"340000","-2.0899988163658416","-2.200377470999956","-1.9796201617317275"
"342000","-2.082844208444003","-2.2116934092342855","-1.9539950076537207"
"344000","-2.0675468444474974","-2.1992964489758013","-1.9357972399191932"
"346000","-2.0604964193352497","-2.1923054094612597","-1.9286874292092397"
"348000","-2.0430039751180447","-2.1621477396786215","-1.9238602105574683"
"350000","-2.0438270440348423","-2.1629776103794573","-1.9246764776902274"
"352000","-2.046764404142741","-2.1628260381519793","-1.9307027701335029"
"354000","-2.062277632805053","-2.157131450921297","-1.9674238146888092"
"356000","-2.052229961252306","-2.155189598351717","-1.9492703241528944"
"358000","-2.0559281164989804","-2.168928014785051","-1.94292821821291"
"360000","-2.064907747565303","-2.168746249228716","-1.9610692459018901"
"362000","-2.061566268859897","-2.1326947505772114","-1.9904377871425822"
"364000","-2.065650826154742","-2.1338026078045367","-1.9974990445049479"
"366000","-2.0712291753874164","-2.138740247040987","-2.003718103733845"
"368000","-2.0919847006187773","-2.1452831228077414","-2.0386862784298136"
"370000","-2.0866519895778035","-2.1407097347080706","-2.032594244447537"
"372000","-2.0925658455933442","-2.164624300049618","-2.020507391137071"
"374000","-2.0915979182114826","-2.163107977854088","-2.020087858568877"
"376000","-2.091316876350902","-2.162207067953423","-2.020426684748381"
"378000","-2.076476947008632","-2.126919327722862","-2.0260345662944017"
"380000","-2.0759239202132447","-2.12013251577504","-2.03171532465145"
"382000","-2.0727404395071787","-2.1448410641495137","-2.000639814864844"
"384000","-2.0697585752932355","-2.119800759488717","-2.019716391097754"
"386000","-2.0693398458091545","-2.0960827439371497","-2.042596947681159"
"388000","-2.074941194287967","-2.0775188276497647","-2.0723635609261692"
"390000","-2.065654650859069","-2.0707790825096892","-2.060530219208449"
"392000","-2.0599490117351524","-2.0652858016220854","-2.0546122218482195"
"394000","-2.086821584037971","-2.0883401498524474","-2.0853030182234944"
"396000","-2.1079017821489834","-2.112485353327356","-2.1033182109706106"
"398000","-2.1112657586275603","-2.130444651222788","-2.092086866032332"
"400000","-2.102046501988079","-2.106730938530527","-2.0973620654456315"
"402000","-2.107589630219154","-2.1420038484875112","-2.073175411950797"
"404000","-2.0929045883147044","-2.1244557952228935","-2.0613533814065157"
"406000","-2.0983817687956616","-2.111085724765435","-2.0856778128258884"
"408000","-2.10176883156877","-2.111020831996575","-2.092516831140965"
"410000","-2.116869777399115","-2.123024394446984","-2.1107151603512464"
"412000","-2.1014551102695984","-2.1049956321530043","-2.097914588386193"
"414000","-2.121721170130186","-2.156909221792594","-2.086533118467778"
"416000","-2.1248717396287247","-2.1699644176010042","-2.079779061656445"
"418000","-2.112405972960405","-2.174321221495047","-2.050490724425763"
"420000","-2.1219362475303933","-2.210810602689162","-2.0330618923716246"
"422000","-2.116079958262853","-2.2168721924070267","-2.01528772411868"
"424000","-2.1069896002439785","-2.199035094762221","-2.0149441057257356"
"426000","-2.1066483778692784","-2.2225642321351917","-1.9907325236033648"
"428000","-2.103121202085167","-2.185804178500548","-2.0204382256697864"
"430000","-2.1332692633080295","-2.215533245601691","-2.0510052810143677"
"432000","-2.121771434347611","-2.1992945239925756","-2.044248344702646"
"434000","-2.125278161566239","-2.21247070054058","-2.0380856225918977"
"436000","-2.1314584151911546","-2.2129312966251744","-2.0499855337571353"
"438000","-2.1354631957667882","-2.207975787767209","-2.062950603766367"
"440000","-2.1204896682384424","-2.183836167105474","-2.057143169371411"
"442000","-2.123405368912499","-2.1950006511295213","-2.051810086695477"
"444000","-2.126788831341546","-2.195221543558873","-2.058356119124219"
"446000","-2.1168882933794517","-2.1758532094443215","-2.0579233773145824"
"448000","-2.119710543507244","-2.1826988005125894","-2.0567222865018993"
"450000","-2.113274843909312","-2.1640354966605084","-2.0625141911581157"
"452000","-2.1102251606364737","-2.1337099950993434","-2.0867403261736035"
"454000","-2.0983097823639403","-2.122059859582223","-2.0745597051456572"
"456000","-2.094612657048274","-2.1204293029988186","-2.0687960110977293"
"458000","-2.088864556767512","-2.108695751973428","-2.0690333615615963"
"460000","-2.1016829004068858","-2.1157551055634394","-2.087610695250332"
"462000","-2.092638887048233","-2.0936879264190793","-2.0915898476773873"
"464000","-2.077755806029309","-2.0917081420356407","-2.0638034700229766"
"466000","-2.047482499156613","-2.049280963600613","-2.045684034712613"
"468000","-2.0326818915945477","-2.0489005381474272","-2.0164632450416686"
"470000","-2.012134571049828","-2.037809519828297","-1.9864596222713589"
"472000","-2.0122076910478066","-2.054581447900273","-1.9698339341953397"
"474000","-1.9890763404709286","-2.026390587748028","-1.951762093193829"
"476000","-1.995094243560452","-2.026045016706921","-1.9641434704139829"
"478000","-2.003490742717404","-2.048694943846203","-1.9582865415886044"
"480000","-2.0070123347383926","-2.0318332797894256","-1.9821913896873593"
"482000","-2.007184869425837","-2.0189013773808258","-1.9954683614708484"
"484000","-2.0002516905241645","-2.0064396692253648","-1.9940637118229643"
"486000","-2.003213599699084","-2.0123865176178515","-1.994040681780316"
"488000","-2.004057881908957","-2.0251789362169803","-1.9829368276009336"
"490000","-2.015461257772986","-2.0375927979685367","-1.9933297175774352"
"492000","-2.0192776393168606","-2.0381716973520816","-2.0003835812816395"
"494000","-2.0312498847139064","-2.0324078805185852","-2.030091888909228"
"496000","-2.0193626611609945","-2.0263772661425175","-2.012348056179471"
"498000","-2.0131535904784688","-2.0202236230112613","-2.006083557945676"
"500000","-2.010456522025634","-2.012236497742124","-2.008676546309143"
"502000","-2.0172092860122213","-2.0331254012323914","-2.0012931707920507"
"504000","-2.0322189634223466","-2.057194013092667","-2.007243913752027"
"506000","-2.0537301414948885","-2.087781088557094","-2.0196791944326833"
"508000","-2.0565548944217156","-2.0939679267071187","-2.019141862136312"
"510000","-2.030296862677205","-2.059297443833202","-2.0012962815212085"
"512000","-2.021172409609426","-2.0466582693718376","-1.9956865498470142"
"514000","-2.0179471894656307","-2.046057145204395","-1.9898372337268666"
"516000","-2.0302488989685665","-2.0521047394536436","-2.008393058483489"
"518000","-2.032939666018356","-2.0512535827420653","-2.014625749294646"
"520000","-2.008966175422538","-2.0214450400136412","-1.996487310831435"
"522000","-2.002892928228248","-2.0035952060483395","-2.0021906504081564"
"524000","-2.0206330139096824","-2.021220502085052","-2.0200455257343126"
"526000","-1.9964042795356365","-2.0080564097827303","-1.9847521492885425"
"528000","-1.9750202871020883","-1.9841619066661225","-1.9658786675380542"
"530000","-1.9573088697361527","-1.9663165196450427","-1.9483012198272627"
"532000","-1.9537485254270721","-1.9537821945222094","-1.953714856331935"
"534000","-1.9416835928423097","-1.9544715842278675","-1.928895601456752"
"536000","-1.950884255952551","-1.9728380202734843","-1.9289304916316177"
"538000","-1.9538565974490485","-1.9730606323340907","-1.934652562564006"
"540000","-1.9662971926055617","-2.009152898178436","-1.9234414870326872"
"542000","-1.9608855046652025","-1.9917077904799954","-1.9300632188504097"
"544000","-1.9497153803653782","-1.992486408338882","-1.9069443523918743"
"546000","-1.9440186408295994","-1.9809020948642866","-1.9071351867949125"
"548000","-1.9496520841255551","-1.980916874432005","-1.9183872938191053"
"550000","-1.9591195899382001","-1.9933494329685346","-1.9248897469078656"
"552000","-1.9593600446119672","-1.9818587398761884","-1.936861349347746"
"554000","-1.962654061926878","-1.9937590837711467","-1.9315490400826092"
"556000","-1.9781014934874839","-1.9890201699966565","-1.9671828169783112"
"558000","-1.9989264617435403","-2.009377039264655","-1.9884758842224255"
"560000","-1.9811487695149845","-1.9852095239271876","-1.9770880151027814"
"562000","-1.9580214113503462","-1.9721194849396124","-1.9439233377610798"
"564000","-1.9397703945956892","-1.9532636908674612","-1.926277098323917"
"566000","-1.9279238474689193","-1.9324802502652165","-1.9233674446726219"
"568000","-1.9076078993402188","-1.9123222211981192","-1.9028935774823186"
"570000","-1.9007281807385152","-1.9081651511450763","-1.8932912103319541"
"572000","-1.9012825276417424","-1.9079434120596852","-1.8946216432237997"
"574000","-1.910981019930332","-1.9133938820147887","-1.9085681578458753"
"576000","-1.908287388877361","-1.9196313245082275","-1.8969434532464948"
"578000","-1.8869059663725785","-1.9006661232793705","-1.8731458094657865"
"580000","-1.887670116694062","-1.9013145222747698","-1.8740257111133543"
"582000","-1.8967798039031913","-1.8987179949821438","-1.894841612824239"
"584000","-1.8782952550525078","-1.8884236053633503","-1.8681669047416654"
"586000","-1.8698785448545823","-1.9006389127182775","-1.839118176990887"
"588000","-1.858286748973769","-1.9143035191320814","-1.8022699788154568"
"590000","-1.859319130925578","-1.9160094004892745","-1.8026288613618817"
"592000","-1.8531766913813772","-1.9096000981354155","-1.7967532846273389"
"594000","-1.8265077149291757","-1.8805200578668155","-1.7724953719915357"
"596000","-1.8116994252224685","-1.862559510061983","-1.760839340382954"
"598000","-1.7940737783332588","-1.8396017261245288","-1.7485458305419888"
"600000","-1.7813608580251459","-1.838583645413164","-1.7241380706371274"
"602000","-1.7821098121424437","-1.8267956276633777","-1.73742399662151"
"604000","-1.7725785949249984","-1.8259218939044513","-1.7192352959455457"
"606000","-1.7423265051638008","-1.7956051686056889","-1.6890478417219128"
"608000","-1.7421731996332528","-1.79584623839939","-1.6885001608671155"
"610000","-1.7120100247097434","-1.75958329990739","-1.6644367495120969"
"612000","-1.6916483389382484","-1.7423485316359437","-1.6409481462405529"
"614000","-1.6681841271166924","-1.6944350577914156","-1.641933196441969"
"616000","-1.662344100678456","-1.6816545583331026","-1.6430336430238095"
"618000","-1.6415954931249144","-1.6531082929694094","-1.6300826932804193"
"620000","-1.632484192418051","-1.641224833878223","-1.623743550957879"
"622000","-1.6112695857166546","-1.6119409766828177","-1.6105981947504915"
"624000","-1.5932911758642878","-1.5941685375093948","-1.5924138142191806"
"626000","-1.5936005601944634","-1.6247057126264552","-1.5624954077624715"
"628000","-1.5728283606102922","-1.5884400039154571","-1.5572167173051275"
"630000","-1.5487060186086454","-1.55190445925924","-1.5455075779580512"
"632000","-1.5459795895038404","-1.547079978248803","-1.544879200758878"
"634000","-1.5158683364099126","-1.5169275648507756","-1.5148091079690493"
"636000","-1.494207462866907","-1.5014432067819872","-1.486971718951827"
"638000","-1.487977598880534","-1.50792759683216","-1.4680276009289082"
"640000","-1.49443983883888","-1.5087475379952229","-1.4801321396825369"
"642000","-1.4732593553356128","-1.4907829889305868","-1.4557357217406388"
"644000","-1.4544108224502996","-1.4591608446487225","-1.449660800251877"
"646000","-1.4577628370869207","-1.466336428190116","-1.4491892459837254"
"648000","-1.451341861759429","-1.4536070170649327","-1.449076706453925"
"650000","-1.4420273560035275","-1.4426502844539937","-1.4414044275530613"
"652000","-1.4331426757323789","-1.4541148122795857","-1.412170539185172"
"654000","-1.4391650153632507","-1.4725093623646535","-1.4058206683618482"
"656000","-1.4398064178164351","-1.4849413761147299","-1.3946714595181402"
"658000","-1.4125447604601504","-1.4723454603203572","-1.3527440605999437"
"660000","-1.3944418146071258","-1.4607370661222376","-1.3281465630920137"
"662000","-1.3916827448998812","-1.4729475205414928","-1.3104179692582694"
"664000","-1.3829396316321798","-1.4734149610274472","-1.2924643022369127"
"666000","-1.3771791756624587","-1.4739492885791696","-1.280409062745748"
"668000","-1.3589181425614516","-1.4434490079456008","-1.2743872771773022"
"670000","-1.3571797808218982","-1.4459931910806336","-1.2683663705631625"
"672000","-1.3356730946112658","-1.4215955217578449","-1.2497506674646865"
"674000","-1.3257170015998416","-1.414108349273447","-1.2373256539262365"
"676000","-1.2981171854223068","-1.38340982172871","-1.2128245491159033"
"678000","-1.27164644057033","-1.3419387118541635","-1.2013541692864964"
"680000","-1.2413939594673864","-1.329789184408728","-1.152998734526045"
"682000","-1.2289792166148255","-1.312392778780777","-1.145565654448874"
"684000","-1.214475910753099","-1.3241263429191894","-1.1048254785870086"
"686000","-1.1937171129007766","-1.312534670617897","-1.074899555183656"
"688000","-1.16870991102056","-1.2815123400208541","-1.0559074820202659"
"690000","-1.1331699235049018","-1.2521902735647745","-1.014149573445029"
"692000","-1.121045816071419","-1.24001075173961","-1.0020808804032277"
"694000","-1.0877496914901714","-1.2103333873231896","-0.965165995657153"
"696000","-1.084607637316076","-1.21043934622081","-0.9587759284113417"
"698000","-1.0666044884324948","-1.1986321643856355","-0.934576812479354"
"700000","-1.0386363775619247","-1.16122442842694","-0.9160483266969095"
"702000","-1.0138811537493893","-1.1487014330853709","-0.8790608744134079"
"704000","-0.983885357944382","-1.131014559783507","-0.8367561561052571"
"706000","-0.9624264756646881","-1.1182515072007664","-0.8066014441286097"
"708000","-0.9417401807905117","-1.1010788817820139","-0.7824014797990094"
