"Step","Grouped runs - collection/reward/extrinsic_episode_reward_mean","Grouped runs - collection/reward/extrinsic_episode_reward_mean__MIN","Grouped runs - collection/reward/extrinsic_episode_reward_mean__MAX"
"2000","-0.8999956846237183","-1.199995756149292","-0.5999956130981445"
"4000","-1.7999957203865051","-2.399995803833008","-1.1999956369400024"
"6000","-2.3999950885772705","-2.999994993209839","-1.7999951839447021"
"8000","-2.0999955534934998","-2.3999953269958496","-1.79999577999115"
"10000","-1.1999956965446472","-1.199995756149292","-1.1999956369400024"
"12000","-1.499995638430164","-2.999995470046997","0.00000419318666899926"
"14000","-0.8999956801533244","-1.7999956607818604","0.000004300475211493904"
"16000","-1.499995768070221","-1.79999577999115","-1.199995756149292"
"18000","-2.6999958157539368","-3.5999958515167236","-1.79999577999115"
"20000","-2.099995493888855","-2.3999955654144287","-1.7999954223632812"
"22000","-2.699995517730713","-4.199995517730713","-1.199995517730713"
"24000","-2.6999953985214233","-4.199995517730713","-1.1999952793121338"
"26000","-1.1999956369400024","-1.79999577999115","-0.599995493888855"
"28000","-1.7999956607818604","-2.399995803833008","-1.199995517730713"
"30000","-0.8999956846237183","-1.1999956369400024","-0.5999957323074341"
"32000","-1.199995756149292","-1.199995756149292","-1.199995756149292"
"34000","-0.8999957934022405","-1.79999577999115","0.00000419318666899926"
"36000","-1.7999954223632812","-1.7999954223632812","-1.7999954223632812"
"38000","-1.7999954521656036","-2.999995231628418","-0.5999956727027893"
"40000","-2.3999956250190735","-3.5999958515167236","-1.1999953985214233"
"42000","-0.5999955605716423","-1.199995517730713","0.000004396587428345811"
"44000","-0.5999953642487981","-1.1999952793121338","0.000004550814537651604"
"46000","-1.499995470046997","-1.7999954223632812","-1.199995517730713"
"48000","-1.4999955892562866","-1.7999954223632812","-1.199995756149292"
"50000","-2.3999953269958496","-2.3999953269958496","-2.3999953269958496"
"52000","-3.2999954223632812","-3.5999953746795654","-2.999995470046997"
"54000","-2.6999953985214233","-2.999995470046997","-2.3999953269958496"
"56000","-1.4999957084655762","-1.79999577999115","-1.1999956369400024"
"58000","-2.6999958157539368","-3.5999958515167236","-1.79999577999115"
"60000","-3.2999954223632812","-4.199995994567871","-2.3999948501586914"
"62000","-1.1999955773353577","-1.199995756149292","-1.1999953985214233"
"64000","-2.999995470046997","-3.5999951362609863","-2.399995803833008"
"66000","-2.699995845556259","-4.7999958992004395","-0.5999957919120789"
"68000","-2.9999955892562866","-3.5999958515167236","-2.3999953269958496"
"70000","-3.8999955654144287","-4.799995422363281","-2.999995708465576"
"72000","-3.5999956130981445","-3.5999958515167236","-3.5999953746795654"
"74000","-1.4999954998493195","-2.3999953269958496","-0.5999956727027893"
"76000","-4.199995636940002","-4.799995422363281","-3.5999958515167236"
"78000","-2.699995517730713","-2.999995708465576","-2.3999953269958496"
"80000","-2.9999956488609314","-4.199995517730713","-1.79999577999115"
"82000","-2.999994993209839","-2.999994993209839","-2.999994993209839"
"84000","-0.8999955952167511","-1.199995756149292","-0.5999954342842102"
"86000","-2.3999955654144287","-3.5999953746795654","-1.199995756149292"
"88000","-2.6999955773353577","-4.799995422363281","-0.5999957323074341"
"90000","-2.9999953508377075","-3.5999953746795654","-2.3999953269958496"
"92000","-1.1999955490232423","-2.3999953269958496","0.0000042289493649150245"
"94000","-0.8999956801533244","-1.7999956607818604","0.000004300475211493904"
"96000","-1.799995481967926","-1.79999577999115","-1.7999951839447021"
"98000","-1.79999577999115","-2.399995803833008","-1.199995756149292"
"100000","-1.199995756149292","-1.1999958753585815","-1.1999956369400024"
"102000","-0.8999957934022405","-1.79999577999115","0.00000419318666899926"
"104000","-1.7999956607818604","-2.399995803833008","-1.199995517730713"
"106000","-1.1999955475330353","-1.7999954223632812","-0.5999956727027893"
"108000","-2.0999956130981445","-3.5999953746795654","-0.5999958515167236"
"110000","-0.5999955832958221","-0.5999956727027893","-0.599995493888855"
"112000","-0.5999957703054406","-1.199995756149292","0.000004215538410790032"
"114000","-2.9999958276748657","-4.199995994567871","-1.7999956607818604"
"116000","-2.3999958634376526","-4.199995994567871","-0.5999957323074341"
"118000","0.000004396587655719486","0.000004157423973083496","0.000004635751338355476"
"120000","-3.299995541572571","-3.5999953746795654","-2.999995708465576"
"122000","-1.7999956011772156","-2.999995470046997","-0.5999957323074341"
"124000","-3.2999954223632812","-4.199995517730713","-2.3999953269958496"
"126000","-0.29999560266742265","-0.5999956130981445","0.000004407763299241196"
"128000","-2.3999957144260406","-4.199995517730713","-0.5999959111213684"
"130000","-2.999995768070221","-5.399995803833008","-0.5999957323074341"
"132000","-2.099995791912079","-2.399995803833008","-1.79999577999115"
"134000","-3.2999954223632812","-3.5999958515167236","-2.999994993209839"
"136000","-3.2999954223632812","-3.5999953746795654","-2.999995470046997"
"138000","-0.8999956548213959","-1.199995517730713","-0.5999957919120789"
"140000","-1.7999955713748932","-2.999995470046997","-0.5999956727027893"
"142000","-2.0999957621097565","-3.5999958515167236","-0.5999956727027893"
"144000","-1.4999958112834975","-2.999995708465576","0.000004085898581251968"
"146000","-2.6999953985214233","-3.5999953746795654","-1.7999954223632812"
"148000","-2.099995791912079","-2.999995708465576","-1.1999958753585815"
"150000","-2.999995678663254","-5.399995803833008","-0.5999955534934998"
"152000","-2.6999956369400024","-4.199995517730713","-1.199995756149292"
"154000","-2.09999543428421","-2.999995231628418","-1.1999956369400024"
