"Step","Grouped runs - collection/reward/mean_ext_return_100","Grouped runs - collection/reward/mean_ext_return_100__MIN","Grouped runs - collection/reward/mean_ext_return_100__MAX"
"2000","-0.8999956846237183","-1.199995756149292","-0.5999956130981445"
"4000","-1.3499957025051117","-1.79999577999115","-0.8999956250190735"
"6000","-1.3999956448872886","-1.9999956289927165","-0.7999956607818604"
"8000","-1.1999956522137154","-1.7999956607818604","-0.5999956436455705"
"10000","-1.5599956396222296","-2.039995622634888","-1.0799956566095716"
"12000","-1.5999956232806198","-2.1999956369400024","-0.9999956096212372"
"14000","-1.5428527595741537","-1.9714242219924927","-1.114281297155815"
"16000","-1.5374956244602913","-2.024995669722557","-1.0499955791980256"
"18000","-1.4666622911890448","-1.8666623168521457","-1.0666622655259441"
"20000","-1.3799956233799548","-1.7399956345558167","-1.019995612204093"
"22000","-1.3909047220241022","-1.745450193231756","-1.0363592508164485"
"24000","-1.3999956425279454","-1.6999956568082173","-1.0999956282476735"
"26000","-1.3615341118895161","-1.615380278000465","-1.1076879457785673"
"28000","-1.3928527896957803","-1.6285670740263802","-1.1571385053651804"
"30000","-1.4199956278999708","-1.5599956512451172","-1.2799956045548242"
"32000","-1.4249956180341599","-1.5749956220388412","-1.2749956140294785"
"34000","-1.4294073845533817","-1.5176426733241362","-1.3411720957826272"
"36000","-1.466662289450571","-1.4666623044345215","-1.4666622744666205"
"38000","-1.6263114293154965","-1.6421009146853593","-1.6105219439456337"
"40000","-1.6199956328421876","-1.6799956353008838","-1.5599956303834914"
"42000","-1.699995639849281","-1.7428527816420596","-1.6571384980565025"
"44000","-1.690904714167118","-1.7181774296543815","-1.6636319986798547"
"46000","-1.708691282764725","-1.7999956219092659","-1.6173869436201842"
"48000","-1.699995631352067","-1.7999956235289574","-1.5999956391751766"
"50000","-1.66799563711882","-1.7279956294298244","-1.6079956448078156"
"52000","-1.6730725633983463","-1.7307648614049027","-1.61538026539179"
"54000","-1.6666623078769622","-1.6666623188389673","-1.6666622969149574"
"56000","-1.6499956378646792","-1.6714241942523975","-1.6285670814769608"
"58000","-1.7068921821577345","-1.7586163088550981","-1.6551680554603707"
"60000","-1.6899956346241196","-1.7399956237649046","-1.6399956454833349"
"62000","-1.6838665999412115","-1.7612859444632762","-1.6064472554191467"
"64000","-1.7249956383078882","-1.8187456290586965","-1.6312456475570798"
"66000","-1.7454501910812557","-1.7636319997071481","-1.7272683824553634"
"68000","-1.729407410296236","-1.7823485821814382","-1.6764662384110338"
"70000","-1.7314242174529682","-1.7828527844271644","-1.6799956504787719"
"72000","-1.7749956464343262","-1.8166623034721598","-1.7333289893964927"
"74000","-1.783779419651514","-1.8324280608646921","-1.735130778438336"
"76000","-1.8157851067567807","-1.815785111173203","-1.8157851023403582"
"78000","-1.8461494750462732","-1.861534077569092","-1.8307648725234544"
"80000","-1.844995631179779","-1.8449956458061934","-1.844995616553365"
"82000","-1.8438980665648559","-1.858532223396185","-1.8292639097335268"
"84000","-1.871424198057509","-1.914281349451769","-1.828567046663249"
"86000","-1.8558095817432565","-1.9116235427385153","-1.7999956207479975"
"88000","-1.8340865304989973","-1.8818138116462664","-1.786359249351728"
"90000","-1.8333289516427511","-1.8933289564318128","-1.7733289468536895"
"92000","-1.8326043173427853","-1.852169537730511","-1.8130390969550598"
"94000","-1.876591362637729","-1.9021232819858345","-1.851059443289624"
"96000","-1.887495620587534","-1.899995621441254","-1.874995619733814"
"98000","-1.8979548067842855","-1.9101997060967306","-1.8857099074718406"
"100000","-1.9079956195727026","-1.9079956204220616","-1.9079956187233438"
"102000","-1.9117603312739608","-1.9529368042288422","-1.8705838583190795"
"104000","-1.9269187059754989","-1.9499956306858097","-1.903841781265188"
"106000","-1.9301843102459126","-1.9698069529080695","-1.890561667583756"
"108000","-1.927773404914753","-1.9666622949350179","-1.888884514894488"
"110000","-1.9363592612946625","-1.9963592600212823","-1.8763592625680428"
"112000","-1.9178527693862943","-1.9714241959620236","-1.8642813428105651"
"114000","-1.931574571988828","-1.9999956201500506","-1.8631535238276054"
"116000","-1.9396508011517386","-1.9758576910493157","-1.9034439112541617"
"118000","-1.9474532537730616","-1.9627074867423782","-1.9321990208037447"
"120000","-1.984995626825844","-2.0099956269500128","-1.9599956267016752"
"122000","-2.021307100447235","-2.0655694003415372","-1.977044800552933"
"124000","-2.0032214329307645","-2.05160853511263","-1.9548343307488987"
"126000","-2.0142813409309106","-2.066662295984604","-1.9619003858772177"
"128000","-1.9968706284824336","-2.0437456309271482","-1.949995626037719"
"130000","-2.0123033201866467","-2.0584571705815855","-1.966149469791708"
"132000","-1.9954501750286364","-2.0272683604140584","-1.9636319896432146"
"134000","-2.014921003174207","-2.050741905057382","-1.979100101291032"
"136000","-2.0382309221553045","-2.0999956388629055","-1.9764662054477038"
"138000","-2.047821715987034","-2.139126077418522","-1.9565173545555465"
"140000","-2.048567055671346","-2.1342813571808557","-1.9628527541618366"
"142000","-2.032389992848042","-2.1211224050536504","-1.9436575806424334"
"144000","-2.0208289581609717","-2.091662311424601","-1.949995604897342"
"146000","-2.05068055650041","-2.128762764999103","-1.972598348001717"
"148000","-2.0513469713513546","-2.1324280698909512","-1.9702658728117575"
"150000","-2.051995622788869","-2.1039956378092333","-1.9999956077685055"
"152000","-2.0684166680776395","-2.12367984173623","-2.0131534944190492"
"154000","-2.061034573822636","-2.1038917333226275","-2.0181774143226443"
"156000","-2.0807648420286133","-2.1461494778163503","-2.015380206240876"
"158000","-2.107590552820249","-2.1721475349904202","-2.043033570650078"
"160000","-2.11499561488163","-2.1824956371588597","-2.0474955926044003"
"162000","-2.1259215375477547","-2.207403043091846","-2.0444400320036635"
"164000","-2.1109712228678745","-2.180483442649425","-2.041459003086324"
"166000","-2.099995614116992","-2.161441422042895","-2.0385498061910896"
"168000","-2.1071384715315515","-2.1642813551594435","-2.04999558790366"
"170000","-2.107054432994306","-2.1670544607104603","-2.047054405278151"
"172000","-2.113949098156465","-2.169763080979327","-2.058135115333603"
"174000","-2.099995607904151","-2.1586163260085467","-2.0413748897997555"
"176000","-2.099995607963174","-2.154541088467123","-2.0454501274592243"
"178000","-2.0966248180214975","-2.1505574266185565","-2.0426922094244384"
"180000","-2.0799956054168054","-2.1399956289554614","-2.0199955818781494"
"182000","-2.086808788646424","-2.136259362948954","-2.037358214343895"
"184000","-2.0804303823615973","-2.132604320116501","-2.028256444606694"
"186000","-2.0709633423606335","-2.1354794973607647","-2.0064471873605023"
"188000","-2.080846664136119","-2.1574424388204148","-2.0042508894518236"
"190000","-2.074732439158192","-2.159995624607329","-1.9894692537090553"
"192000","-2.0749955953574215","-2.1687456229973257","-1.9812455677175176"
"194000","-2.090717241337966","-2.183500775076524","-1.997933707599409"
"196000","-2.0938731432122637","-2.191832353596631","-1.995913932827896"
