"Step","Grouped runs - collection/reward/mean_ext_return_100","Grouped runs - collection/reward/mean_ext_return_100__MIN","Grouped runs - collection/reward/mean_ext_return_100__MAX"
"2000","-0.8999956846237183","-1.199995756149292","-0.5999956130981445"
"4000","-2.099995732307434","-2.6999958753585815","-1.4999955892562866"
"6000","-2.2999957402547198","-3.1999959150950112","-1.3999955654144287"
"8000","-2.3249956518411636","-2.549995869398117","-2.09999543428421"
"10000","-2.159995609521866","-2.5199957609176638","-1.7999954581260682"
"12000","-2.0499956222871942","-2.599995752175649","-1.4999954923987389"
"14000","-1.9714242060269629","-2.485710024833679","-1.4571383872202464"
"16000","-2.1749956319108605","-2.7749957591295242","-1.5749955046921968"
"18000","-2.099995647039678","-2.666662428114149","-1.5333288659652073"
"20000","-2.279995662719011","-2.939995765686035","-1.6199955597519875"
"22000","-2.09999564696442","-2.672723012891683","-1.5272682810371572"
"24000","-2.0499956471224627","-2.5499957216282687","-1.5499955726166565"
"26000","-2.076918736100197","-2.6769188195466995","-1.4769186526536942"
"28000","-2.1642813735774586","-2.6571385700787817","-1.6714241770761353"
"30000","-2.0799956450859707","-2.5199956903855005","-1.6399955997864406"
"32000","-2.0249956408515573","-2.3999956930056214","-1.649995588697493"
"34000","-1.9764662235975266","-2.2941133388701607","-1.6588191083248924"
"36000","-1.9999956182307668","-2.29999567154381","-1.6999955649177234"
"38000","-2.0526272019273355","-2.3999956885450766","-1.7052587153095948"
"40000","-1.9949956245720386","-2.3399956859648228","-1.6499955631792544"
"42000","-2.0428527771007445","-2.3999956938482465","-1.6857098603532428"
"44000","-2.018177435479381","-2.3999956663359296","-1.6363592046228321"
"46000","-2.0608651657467303","-2.399995651582013","-1.7217346799114477"
"48000","-2.037495607510209","-2.3749956569323936","-1.6999955580880244"
"50000","-2.0279956024885175","-2.327995656132698","-1.7279955488443375"
"52000","-2.0192263785463114","-2.284611044594875","-1.753841712497748"
"54000","-1.9777733917037663","-2.266662326675874","-1.6888844567316583"
"56000","-1.9392813231263841","-2.185709940748552","-1.6928527055042164"
"58000","-1.9758576730201987","-2.2551680640927647","-1.6965472819476324"
"60000","-1.9999955972035726","-2.2599956554174394","-1.739995538989706"
"62000","-2.04193107158907","-2.3225762961372225","-1.7612858470409176"
"64000","-2.0999955981969833","-2.3624956572428317","-1.837495539151135"
"66000","-2.1272683251987807","-2.3999956486803087","-1.8545410017172523"
"68000","-2.1088191288359024","-2.3999956532436233","-1.8176426044281817"
"70000","-2.1171384487833294","-2.3999956439222583","-1.8342812536444009"
"72000","-2.0999955882628756","-2.3499956430660327","-1.849995533459719"
"74000","-2.067563153320069","-2.286482133978122","-1.8486441726620157"
"76000","-2.068416642240789","-2.30525880699095","-1.8315744774906282"
"78000","-2.0538417419179904","-2.2615341127682953","-1.8461493710676853"
"80000","-2.077495591826738","-2.219995651766658","-1.9349955318868184"
"82000","-2.092678508126155","-2.2243858877478577","-1.9609711285044529"
"84000","-2.092852726330361","-2.2428527882411364","-1.9428526644195852"
"86000","-2.065111867667632","-2.2186003018950307","-1.9116234334402327"
"88000","-2.045450133119118","-2.2090865546329455","-1.8818137116052909"
"90000","-2.0466622548964297","-2.1999956405825083","-1.8933288692103512"
"92000","-2.021734721407943","-2.1782565126600475","-1.8652129301558389"
"94000","-2.0233998492994214","-2.1957403253367604","-1.8510593732620826"
"96000","-2.0187455916466823","-2.1874956473087273","-1.8499955359846372"
"98000","-2.0204037553497733","-2.204077281209887","-1.8367302294896592"
"100000","-2.0399955896437176","-2.219995649755001","-1.8599955295324344"
"102000","-2.047054418337113","-2.2705838899402058","-1.8235249467340207"
"104000","-2.0423032815066686","-2.2615341117175727","-1.8230724512957646"
"106000","-2.020750310792115","-2.230184329849369","-1.8113162917348609"
"108000","-2.033328926839212","-2.2777734241551824","-1.7888844295232418"
"110000","-2.0399955973300083","-2.2472683730450544","-1.8327228216149622"
"112000","-2.0089241715148125","-2.2178527901747396","-1.799995552854885"
"114000","-2.0157850752535653","-2.2105219633432855","-1.8210481871638446"
"116000","-2.022409389938777","-2.2137887454752265","-1.8310300344023274"
"118000","-2.008470175806752","-2.196605813452753","-1.8203345381607505"
"120000","-2.0249955934037795","-2.209995641062657","-1.839995545744902"
"122000","-2.04589723189835","-2.252454653870864","-1.8393398099258358"
"124000","-2.0419310784868685","-2.24515692817588","-1.838705228797857"
"126000","-2.019043215778141","-2.2285670683024423","-1.80951936325384"
"128000","-2.0343705975450597","-2.221870641922578","-1.8468705531675411"
"130000","-2.0353802122519586","-2.2430725608880704","-1.8276878636158471"
"132000","-2.0454501456383523","-2.263632004685474","-1.8272682865912306"
"134000","-2.082085154038759","-2.3014881822155484","-1.862682125861969"
"136000","-2.069113246745925","-2.294113288688309","-1.844113204803541"
"138000","-2.0739086443963277","-2.2782565093990685","-1.8695607793935871"
"140000","-2.0742813136747924","-2.2799956421766963","-1.8685669851728888"
"142000","-2.0830941914672603","-2.290136484822757","-1.8760518981117635"
"144000","-2.074995598052112","-2.2999956340839467","-1.849995562020278"
"146000","-2.0876668316248357","-2.293146321014182","-1.8821873422354893"
"148000","-2.1040496536404714","-2.2945902329441665","-1.9135090743367762"
"150000","-2.095995601832868","-2.287995640238126","-1.9039955634276096"
"152000","-2.0960482335600426","-2.2736798522895887","-1.9184166148304964"
"154000","-2.076618979909979","-2.2519436925649643","-1.9012942672549928"
"156000","-2.0653802194847524","-2.2461494870292835","-1.884610951940221"
"158000","-2.0430335778601583","-2.217717157436324","-1.8683499982839922"
"160000","-2.039995606001469","-2.189995640553536","-1.8899955714494012"
"162000","-2.0592548609331827","-2.199995632561639","-1.9185140893047261"
"164000","-2.0634102353780754","-2.1878005063024983","-1.939019964453653"
"166000","-2.0530076498547256","-2.183128158766105","-1.9228871409433457"
"168000","-2.049995602010973","-2.1928527696146873","-1.907138434407259"
"170000","-2.0470544262318073","-2.1882309212754776","-1.9058779311881366"
"172000","-2.0476700207348504","-2.1976700467079207","-1.8976699947617797"
"174000","-2.04137491164194","-2.193099074014304","-1.8896507492695753"
"176000","-2.0522683297876627","-2.2159047208387763","-1.888631938736549"
"178000","-2.0865124592452924","-2.258422597104246","-1.9146023213863392"
"180000","-2.086662272728154","-2.273328966597718","-1.8999955788585896"
"182000","-2.0934021994799066","-2.30109453728566","-1.8857098616741537"
"184000","-2.090212995380813","-2.2826043289964635","-1.8978216617651626"
"186000","-2.093543990116608","-2.3032214385527454","-1.8838665416804712"
"188000","-2.087229643524329","-2.2978679677590432","-1.8765913192896153"
"190000","-2.0842061235245923","-2.2989429900834453","-1.8694692569657394"
"192000","-2.0874955943940847","-2.2937456195863604","-1.881245569201809"
"194000","-2.078346109682139","-2.282469846569388","-1.8742223727948906"
"196000","-2.0785670223740915","-2.295913984611328","-1.8612200601368554"
"198000","-2.060601654498267","-2.272722889738857","-1.8484804192576765"
"200000","-2.0639955924153357","-2.2859956122040783","-1.8419955726265926"
"202000","-2.0669955880641964","-2.2919956052899395","-1.8419955708384532"
"204000","-2.045995587825778","-2.261995602905754","-1.829995572745802"
"206000","-2.0399955840110806","-2.2439955962300338","-1.8359955717921275"
"208000","-2.045995584845546","-2.2619955945611037","-1.8299955751299877"
"210000","-2.0369955873042365","-2.2499955976605452","-1.8239955769479275"
"212000","-2.030995588481428","-2.225995597898964","-1.8359955790638924"
"214000","-2.027995587468149","-2.225995597898964","-1.8299955770373344"
"216000","-2.0069955889135622","-2.207995595991615","-1.8059955818355093"
"218000","-1.9979955877959743","-2.2019955957531967","-1.793995579838752"
"220000","-2.003995585650207","-2.2019955957531967","-1.8059955755472175"
"222000","-2.02499558581412","-2.237995594650511","-1.811995576977729"
"224000","-2.030995584264399","-2.231995595604185","-1.8299955729246131"
"226000","-2.0279955811649577","-2.219995592743162","-1.835995569586753"
"228000","-2.00099558158219","-2.2019955962002316","-1.7999955669641485"
"230000","-2.0189955819994223","-2.2439955966770686","-1.7939955673217765"
"232000","-2.0309955824762596","-2.2679955940544643","-1.793995570898055"
