"Step","Grouped runs - collection/reward/mean_ext_return_100","Grouped runs - collection/reward/mean_ext_return_100__MIN","Grouped runs - collection/reward/mean_ext_return_100__MAX"
"2000","-0.8999956846237183","-1.199995756149292","-0.5999956130981445"
"4000","-1.3499957025051117","-1.79999577999115","-0.8999956250190735"
"6000","-1.5999955832958221","-2.3999955654144287","-0.7999956011772156"
"8000","-1.649995617568493","-2.249995619058609","-1.0499956160783768"
"10000","-1.6799955904483796","-2.039995622634888","-1.3199955582618714"
"12000","-1.8499955584605536","-2.1999955972035727","-1.4999955197175343"
"14000","-2.0999955662659238","-2.228566987173898","-1.9714241453579493"
"16000","-2.21249558404088","-2.4749956130981445","-1.9499955549836159"
"18000","-2.333328899410036","-2.5333289305369058","-2.133328868283166"
"20000","-2.339995566010475","-2.4599955797195436","-2.2199955523014068"
"22000","-2.3454501303759487","-2.399995592507449","-2.2909046682444485"
"24000","-2.299995571374893","-2.3499955783287683","-2.249995564421018"
"26000","-2.192303267809061","-2.2153801872180057","-2.169226348400116"
"28000","-2.2071384361812045","-2.2285669999463216","-2.1857098724160875"
"30000","-2.219995574156443","-2.3199955821037292","-2.119995566209157"
"32000","-2.1562455594539642","-2.2124955765902996","-2.099995542317629"
"34000","-2.2941132293027993","-2.364701477920308","-2.22352498068529"
"36000","-2.249995569388072","-2.3666622473133936","-2.13332889146275"
"38000","-2.3210482032675492","-2.4315745422714636","-2.210521864263635"
"40000","-2.369995577633381","-2.6099956005811693","-2.1299955546855927"
"42000","-2.3571384364650365","-2.542852739493052","-2.1714241334370206"
"44000","-2.3181773898276417","-2.5363592099059713","-2.099995569749312"
"46000","-2.2434738390471645","-2.4260825402062913","-2.0608651378880376"
"48000","-2.2874955865864974","-2.5249955968310474","-2.049995576341947"
"50000","-2.267995587170126","-2.4959956041574514","-2.0399955701828003"
"52000","-2.2730725185802365","-2.4461494561571375","-2.099995581003336"
"54000","-2.3333289409677205","-2.4888845078371222","-2.1777733740983187"
"56000","-2.303567029163243","-2.485709885720699","-2.121424172605787"
"58000","-2.306892155213604","-2.4620645676193598","-2.1517197428078485"
"60000","-2.239995603064699","-2.379995602965361","-2.099995603164037"
"62000","-2.3032214144545247","-2.4387052930170547","-2.167737535891994"
"64000","-2.2781206055544345","-2.381245619244879","-2.17499559186399"
"66000","-2.3181774203524474","-2.4363592525323288","-2.1999955881725657"
"68000","-2.2676426569328614","-2.3823485502425417","-2.1529367636231815"
"70000","-2.2457098878281485","-2.3314241823128343","-2.1599955933434623"
"72000","-2.2749956070548984","-2.3499956135948548","-2.1999956005149417"
"74000","-2.27026588151584","-2.3026983178950693","-2.2378334451366113"
"76000","-2.289469293308888","-2.368416662749496","-2.2105219238682796"
"78000","-2.284610998401277","-2.39999561630763","-2.1692263804949246"
"80000","-2.347495620921256","-2.4749956209957644","-2.219995620846748"
"82000","-2.341459035364595","-2.4878004953628676","-2.195117575366323"
"84000","-2.32142419566711","-2.4428527629091668","-2.1999956284250533"
"86000","-2.2953444638224556","-2.3999956212764606","-2.1906933063684506"
"88000","-2.3113592621277697","-2.372722897069025","-2.249995627186515"
"90000","-2.3199956246879383","-2.3599956278006275","-2.2799956215752495"
"92000","-2.321734747355401","-2.373908652300424","-2.2695608424103777"
"94000","-2.348931789588423","-2.361697737587263","-2.3361658415895827"
"96000","-2.349995608317357","-2.3499956155816712","-2.349995601053043"
"98000","-2.3632609164836476","-2.375505824478305","-2.3510160084889895"
"100000","-2.345995612323286","-2.363995623588562","-2.32799560105801"
"102000","-2.3176426713957525","-2.329407390426187","-2.305877952365318"
"104000","-2.3019186915973058","-2.319226370751861","-2.2846110124427503"
"106000","-2.2641465593059116","-2.275467303507738","-2.252825815104085"
"108000","-2.249995613208524","-2.2555511764354144","-2.2444400499816344"
"110000","-2.2363592480529446","-2.2472683277455294","-2.2254501683603602"
"112000","-2.223209897003004","-2.2392813158354636","-2.207138478170545"
"114000","-2.205258771724869","-2.2315745520487216","-2.1789429914010165"
"116000","-2.1982714746532777","-2.20344388479817","-2.1930990645083854"
"118000","-2.2118600209890795","-2.2372837510654526","-2.186436290912706"
"120000","-2.2249956098198895","-2.259995611459021","-2.1899956081807583"
"122000","-2.247536593480189","-2.291798896428019","-2.2032742905323595"
"124000","-2.2258020617308163","-2.2741891664362766","-2.177414957025356"
"126000","-2.2095194216048917","-2.23809085687002","-2.180947986339763"
"128000","-2.198433114518412","-2.2312456212937875","-2.165620607743037"
"130000","-2.1830725391553014","-2.1969186983200277","-2.169226379990575"
"132000","-2.1863592552867814","-2.1999956241611334","-2.17272288641243"
"134000","-2.1985030793876805","-2.2208911428255877","-2.1761150159497733"
"136000","-2.1970544375479237","-2.1970544421059297","-2.1970544329899173"
"138000","-2.213039095548617","-2.2347782313391833","-2.191299959758051"
"140000","-2.20713846994298","-2.228567044947834","-2.185709894938126"
"142000","-2.2056294156212215","-2.230981534509597","-2.180277296732846"
"144000","-2.195828944568834","-2.233328948294128","-2.15832894084354"
"146000","-2.2027353367985123","-2.2520504061898188","-2.153420267407206"
"148000","-2.193238852112681","-2.237833448237669","-2.1486442559876933"
"150000","-2.1999956124226263","-2.223995612343157","-2.1759956125020956"
"152000","-2.2065745601136446","-2.2263114043364447","-2.1868377158908445"
"154000","-2.1818137971418268","-2.205190423130994","-2.1584371711526598"
"156000","-2.1769186916832766","-2.215380234481437","-2.1384571488851156"
"158000","-2.1721475118134617","-2.1949323263726703","-2.1493626972542534"
"160000","-2.1524956160783804","-2.182495619244878","-2.1224956129118824"
"162000","-2.148143764042563","-2.1851808008220504","-2.111106727263076"
"164000","-2.1438980532855556","-2.1658492697811753","-2.121946836789936"
"166000","-2.165055851763993","-2.1903570559010492","-2.1397546476269365"
"168000","-2.1499956095502526","-2.178567039008656","-2.1214241800918487"
"170000","-2.135289729149907","-2.152936788797385","-2.1176426695024286"
"172000","-2.1313909595269145","-2.1418560791154304","-2.1209258399383986"
"174000","-2.113788713703215","-2.131030095651238","-2.096547331755192"
"176000","-2.127268339456487","-2.140904704887765","-2.113631974025209"
"178000","-2.110107970622823","-2.1168495467204798","-2.1033663945251666"
"180000","-2.0933289447095706","-2.093328946431484","-2.093328942987657"
"182000","-2.083512094518645","-2.090105501112053","-2.076918687925237"
"184000","-2.086952132245773","-2.093473868784703","-2.080430395706843"
"186000","-2.0806407709275563","-2.0903181891287583","-2.0709633527263547"
"188000","-2.074463692624523","-2.0808466726161123","-2.068080712632933"
"190000","-2.071574549173058","-2.0778903399015785","-2.065258758444538"
"192000","-2.059370600804691","-2.0624956019222793","-2.0562455996871023"
"194000","-2.059789414749936","-2.0597894181910306","-2.059789411308842"
"196000","-2.063260907558158","-2.0877507020016135","-2.038771113114702"
"198000","-2.072722875244091","-2.0969652980265017","-2.0484804524616806"
