"Step","Grouped runs - collection/reward/extrinsic_episode_reward_mean","Grouped runs - collection/reward/extrinsic_episode_reward_mean__MIN","Grouped runs - collection/reward/extrinsic_episode_reward_mean__MAX"
"2000","-0.8999956846237183","-1.199995756149292","-0.5999956130981445"
"4000","-2.699995756149292","-4.199995994567871","-1.199995517730713"
"6000","-2.0999953746795654","-2.3999953269958496","-1.7999954223632812"
"8000","-1.1999956965446472","-1.79999577999115","-0.5999956130981445"
"10000","-0.899995744228363","-1.199995756149292","-0.5999957323074341"
"12000","-2.3999955654144287","-2.399995803833008","-2.3999953269958496"
"14000","-2.0999955534934998","-2.3999953269958496","-1.79999577999115"
"16000","-2.699995696544647","-4.7999958992004395","-0.599995493888855"
"18000","-1.4999957084655762","-1.7999956607818604","-1.199995756149292"
"20000","-2.9999958872795105","-4.199995994567871","-1.79999577999115"
"22000","-0.5999955192207835","-1.199995517730713","0.000004479289145820076"
"24000","-1.1999955773353577","-1.7999954223632812","-0.5999957323074341"
"26000","-1.7999955415725708","-1.7999956607818604","-1.7999954223632812"
"28000","-1.499995470046997","-1.7999951839447021","-1.199995756149292"
"30000","-1.4999955296516418","-2.3999953269958496","-0.5999957323074341"
"32000","-1.199995495378971","-2.3999953269958496","0.000004336237907409668"
"34000","-4.499995946884155","-4.7999958992004395","-4.199995994567871"
"36000","-2.0999957025051117","-3.5999958515167236","-0.5999955534934998"
"38000","-1.1999957263469696","-1.79999577999115","-0.5999956727027893"
"40000","-0.8999955669046358","-1.7999951839447021","0.000004050135430588853"
"42000","-1.79999577999115","-2.399995803833008","-1.199995756149292"
"44000","-0.2999955609441258","-0.599995493888855","0.000004372000603325432"
"46000","-1.7999955713748932","-2.999995470046997","-0.5999956727027893"
"48000","-2.0999955534934998","-2.999995470046997","-1.1999956369400024"
"50000","-3.2999956607818604","-3.5999958515167236","-2.999995470046997"
"52000","-1.499995768070221","-1.79999577999115","-1.199995756149292"
"54000","-2.3999955654144287","-3.5999953746795654","-1.199995756149292"
"56000","-2.6999958157539368","-3.5999958515167236","-1.79999577999115"
"58000","-1.7999957203865051","-2.999995708465576","-0.5999957323074341"
"60000","-0.8999955654144287","-1.1999953985214233","-0.5999957323074341"
"62000","-0.5999956741929964","-1.199995756149292","0.000004407763299241196"
"64000","-0.8999958336353302","-1.199995756149292","-0.5999959111213684"
"66000","-2.399995803833008","-2.399995803833008","-2.399995803833008"
"68000","-1.4999952912330627","-1.7999951839447021","-1.1999953985214233"
"70000","-3.5999958515167236","-3.5999958515167236","-3.5999958515167236"
