"Step","Grouped runs - collection/reward/intrinsic_episode_reward_mean","Grouped runs - collection/reward/intrinsic_episode_reward_mean__MIN","Grouped runs - collection/reward/intrinsic_episode_reward_mean__MAX"
"2000","13.41162109375","13.033685684204102","13.789556503295898"
"4000","9.852093696594238","8.934686660766602","10.769500732421875"
"6000","9.54604697227478","7.311869144439697","11.780224800109863"
"8000","10.067173480987549","9.082606315612793","11.051740646362305"
"10000","9.166406393051147","7.528928279876709","10.803884506225586"
"12000","6.751502513885498","4.552708625793457","8.950296401977539"
"14000","7.724947929382324","6.4269561767578125","9.022939682006836"
"16000","7.020157098770142","5.759863376617432","8.280450820922852"
"18000","6.657386779785156","4.822766304016113","8.4920072555542"
"20000","6.096806287765503","4.006887912750244","8.186724662780762"
"22000","7.0495312213897705","6.221120357513428","7.877942085266113"
"24000","6.570244550704956","5.321860313415527","7.818628787994385"
"26000","5.895131826400757","5.039013385772705","6.751250267028809"
"28000","6.285488843917847","5.838710784912109","6.732266902923584"
"30000","5.4545392990112305","5.156380653381348","5.752697944641113"
"32000","4.249009966850281","3.2120068073272705","5.286013126373291"
"34000","4.182267427444458","3.313434600830078","5.051100254058838"
"36000","4.379481554031372","4.206595420837402","4.552367687225342"
"38000","4.103166341781616","3.35746431350708","4.848868370056152"
"40000","4.0568015575408936","3.980241298675537","4.13336181640625"
"42000","3.99232017993927","3.6176750659942627","4.366965293884277"
"44000","3.1768919229507446","2.839878559112549","3.5139052867889404"
"46000","4.023701548576355","3.9594509601593018","4.087952136993408"
"48000","3.584518074989319","3.5272743701934814","3.6417617797851562"
"50000","3.357211709022522","3.3025460243225098","3.411877393722534"
"52000","3.3234466314315796","3.1555025577545166","3.4913907051086426"
"54000","3.0079442262649536","2.988255262374878","3.0276331901550293"
"56000","3.244153380393982","2.902709484100342","3.585597276687622"
"58000","2.617474675178528","2.2767045497894287","2.958244800567627"
"60000","2.6166832447052","2.385193347930908","2.848173141479492"
"62000","2.7622708082199097","2.501110076904297","3.0234315395355225"
"64000","2.5766055583953857","1.8800086975097656","3.273202419281006"
"66000","1.863083004951477","1.7476227283477783","1.9785432815551758"
"68000","1.8279951810836792","1.7687149047851562","1.8872754573822021"
"70000","1.843553900718689","1.7069721221923828","1.9801356792449951"
"72000","1.8645410537719727","1.6481969356536865","2.080885171890259"
"74000","1.617919385433197","1.413036584854126","1.822802186012268"
"76000","2.1061457991600037","1.7501777410507202","2.462113857269287"
"78000","1.3501208424568176","1.287264347076416","1.4129773378372192"
"80000","1.5637012124061584","1.4661144018173218","1.6612880229949951"
"82000","1.4996963739395142","1.4910261631011963","1.508366584777832"
"84000","1.3050697445869446","1.1506353616714478","1.4595041275024414"
"86000","1.3299586176872253","1.1698014736175537","1.490115761756897"
"88000","1.2390751838684082","0.9987579584121704","1.479392409324646"
"90000","0.9955936968326569","0.9419767260551453","1.0492106676101685"
"92000","1.2742482423782349","1.2132551670074463","1.3352413177490234"
"94000","1.1033209562301636","0.88471519947052","1.3219267129898071"
"96000","0.9313369691371918","0.8599902987480164","1.0026836395263672"
"98000","0.8925411999225616","0.7696606516838074","1.015421748161316"
"100000","0.988055020570755","0.7203925251960754","1.2557175159454346"
"102000","0.8899947702884674","0.5214926600456238","1.258496880531311"
"104000","0.9659653007984161","0.9139350056648254","1.0179955959320068"
"106000","0.9721020460128784","0.9505139589309692","0.9936901330947876"
"108000","0.9854896664619446","0.9048691987991333","1.0661101341247559"
"110000","0.8259961605072021","0.7141860127449036","0.9378063082695007"
"112000","0.8215038776397705","0.6593796014785767","0.9836281538009644"
"114000","0.9374054074287415","0.892509937286377","0.982300877571106"
"116000","0.574070394039154","0.5659201741218567","0.5822206139564514"
"118000","0.6829877495765686","0.6539912223815918","0.7119842767715454"
"120000","0.6290291845798492","0.6250234246253967","0.6330349445343018"
"122000","0.718524158000946","0.7043593525886536","0.7326889634132385"
"124000","0.5400213897228241","0.49004507064819336","0.5899977087974548"
"126000","0.6277586817741394","0.6110748052597046","0.6444425582885742"
"128000","0.5265452861785889","0.5025342702865601","0.5505563020706177"
"130000","0.5617554634809494","0.4883018434047699","0.6352090835571289"
"132000","0.5911288261413574","0.5809410810470581","0.6013165712356567"
"134000","0.4865298718214035","0.4140683114528656","0.5589914321899414"
"136000","0.5900037288665771","0.4518135190010071","0.7281939387321472"
"138000","0.5021127164363861","0.4551082253456116","0.5491172075271606"
"140000","0.42525599896907806","0.2882688343524933","0.5622431635856628"
"142000","0.49933476746082306","0.48286500573158264","0.5158045291900635"
"144000","0.36217114329338074","0.3391827344894409","0.38515955209732056"
"146000","0.5605651438236237","0.4217601418495178","0.6993701457977295"
"148000","0.6000285744667053","0.5490847826004028","0.6509723663330078"
"150000","0.5414955317974091","0.5019692182540894","0.5810218453407288"
"152000","0.562122255563736","0.49128443002700806","0.6329600811004639"
"154000","0.46016640961170197","0.43466717004776","0.4856656491756439"
"156000","0.5455837100744247","0.4636141359806061","0.6275532841682434"
"158000","0.49095121026039124","0.4261254668235779","0.5557769536972046"
"160000","0.3206471651792526","0.3202746510505676","0.3210196793079376"
"162000","0.39615559577941895","0.3098641335964203","0.4824470579624176"
"164000","0.29585497081279755","0.26717808842658997","0.3245318531990051"
"166000","0.34726379811763763","0.3364594876766205","0.3580681085586548"
"168000","0.3160010650753975","0.23688499629497528","0.3951171338558197"
"170000","0.39873020350933075","0.2771744430065155","0.520285964012146"
"172000","0.3433924466371536","0.3107326924800873","0.37605220079421997"
"174000","0.28037434816360474","0.1844199299812317","0.3763287663459778"
"176000","0.375676691532135","0.3331618905067444","0.41819149255752563"
"178000","0.3486422449350357","0.3300372362136841","0.36724725365638733"
"180000","0.3544948101043701","0.3108908534049988","0.39809876680374146"
"182000","0.33838242292404175","0.32503291964530945","0.35173192620277405"
"184000","0.2623159736394882","0.21216371655464172","0.3124682307243347"
"186000","0.24894217401742935","0.1628110557794571","0.3350732922554016"
"188000","0.24685756862163544","0.23766955733299255","0.2560455799102783"
"190000","0.21801836788654327","0.20865674316883087","0.22737999260425568"
"192000","0.4566051661968231","0.3183448910713196","0.5948654413223267"
"194000","0.2643217146396637","0.2252107858657837","0.3034326434135437"
"196000","0.40662258863449097","0.26050907373428345","0.5527361035346985"
"198000","0.2393101155757904","0.2248746156692505","0.2537456154823303"
"200000","0.3245290219783783","0.20981967449188232","0.43923836946487427"
"202000","0.250516377389431","0.1946256011724472","0.3064071536064148"
"204000","0.2569303512573242","0.2497905194759369","0.26407018303871155"
"206000","0.27402056753635406","0.24862432479858398","0.29941681027412415"
"208000","0.38114020973443985","0.2371891289949417","0.525091290473938"
"210000","0.24933096766471863","0.1713773012161255","0.32728463411331177"
"212000","0.1876498982310295","0.16182640194892883","0.2134733945131302"
"214000","0.2077653408050537","0.15240755677223206","0.26312312483787537"
"216000","0.1969737410545349","0.17722423374652863","0.2167232483625412"
"218000","0.24236714839935303","0.2366052120923996","0.24812908470630646"
"220000","0.3279367983341217","0.2975381910800934","0.35833540558815"
"222000","0.1875860095024109","0.14170512557029724","0.23346689343452454"
"224000","0.23216833174228668","0.1658930480480194","0.29844361543655396"
"226000","0.23523561656475067","0.15736594796180725","0.3131052851676941"
"228000","0.20591799169778824","0.15202735364437103","0.25980862975120544"
"230000","0.14294888079166412","0.09730415046215057","0.18859361112117767"
"232000","0.2454380989074707","0.1968047320842743","0.2940714657306671"
"234000","0.21237239241600037","0.20127281546592712","0.2234719693660736"
"236000","0.1714256927371025","0.16805477440357208","0.17479661107063293"
"238000","0.10482984408736229","0.10455165058374405","0.10510803759098053"
"240000","0.2347923219203949","0.18053561449050903","0.28904902935028076"
"242000","0.12183453142642975","0.1175125390291214","0.1261565238237381"
"244000","0.16895482689142227","0.1535206139087677","0.18438903987407684"
"246000","0.19130093604326248","0.11673147976398468","0.2658703923225403"
"248000","0.18582003563642502","0.11717440187931061","0.25446566939353943"
"250000","0.2196894884109497","0.19985833764076233","0.23952063918113708"
"252000","0.2509639635682106","0.2132202833890915","0.2887076437473297"
"254000","0.1429888978600502","0.1418544501066208","0.14412334561347961"
"256000","0.16298697143793106","0.12997351586818695","0.19600042700767517"
"258000","0.13970432057976723","0.11815760284662247","0.161251038312912"
"260000","0.12475578486919403","0.0908074826002121","0.15870408713817596"
"262000","0.1610395684838295","0.1602194607257843","0.1618596762418747"
"264000","0.11507409811019897","0.09976837038993835","0.1303798258304596"
"266000","0.1423552930355072","0.11346518993377686","0.17124539613723755"
"268000","0.14460016787052155","0.09400516748428345","0.19519516825675964"
"270000","0.15728497877717018","0.11732836812734604","0.19724158942699432"
"272000","0.19810305163264275","0.1068740114569664","0.2893320918083191"
"274000","0.1224251389503479","0.11872418224811554","0.12612609565258026"
