"Step","Grouped runs - collection/reward/mean_ext_return_100","Grouped runs - collection/reward/mean_ext_return_100__MIN","Grouped runs - collection/reward/mean_ext_return_100__MAX"
"2000","-0.8999956846237183","-1.199995756149292","-0.5999956130981445"
"4000","-1.7999957203865051","-2.6999958753585815","-0.8999955654144287"
"6000","-1.8999956051508584","-2.399995724360148","-1.399995485941569"
"8000","-1.7249956279993057","-2.2499957382678986","-1.199995517730713"
"10000","-1.5599956512451172","-1.9199957370758056","-1.1999955654144288"
"12000","-1.6999956369400024","-1.999995748202006","-1.3999955256779988"
"14000","-1.7571384821619307","-2.0571385451725552","-1.4571384191513062"
"16000","-1.8749956339597702","-2.3999957144260406","-1.3499955534934998"
"18000","-1.8333289755715265","-2.2666623857286243","-1.3999955654144287"
"20000","-1.9499956667423248","-2.2199957251548765","-1.679995608329773"
"22000","-1.827268380604003","-2.018177524750875","-1.636359236457131"
"24000","-1.7749956469982826","-1.9999956828852419","-1.5499956111113231"
"26000","-1.7769187158116893","-1.9846110474604757","-1.5692263841629028"
"28000","-1.757138483971354","-1.9714242000664919","-1.5428527678762163"
"30000","-1.73999562035004","-1.8799956355492213","-1.5999956051508586"
"32000","-1.7062456125393481","-1.7624956373125258","-1.6499955877661705"
"34000","-1.8705838675008075","-1.9058780112687226","-1.8352897237328922"
"36000","-1.883328969445491","-1.9333289530542161","-1.8333289858367658"
"38000","-1.84736406191399","-1.9263114176298444","-1.7684167061981355"
"40000","-1.7999956371635222","-1.8299956442415806","-1.7699956300854638"
"42000","-1.799995643964838","-1.8571385089840295","-1.742852778945646"
"44000","-1.7318138220093509","-1.7999956446615215","-1.6636319993571802"
"46000","-1.7347782458948093","-1.7478217328372287","-1.7217347589523897"
"48000","-1.7499956337114213","-1.774995621914665","-1.7249956455081776"
"50000","-1.811995634794239","-1.8479956310987473","-1.7759956384897304"
"52000","-1.7999956399202381","-1.8461494829792242","-1.753841796861252"
"54000","-1.8222178593829859","-1.911106738227385","-1.733328980538587"
"56000","-1.85356707211052","-1.9714242065591472","-1.7357099376618927"
"58000","-1.8517197841200366","-2.0068921893835068","-1.6965473788565666"
"60000","-1.8199956434965165","-1.9599956408143044","-1.6799956461787284"
"62000","-1.780640805777048","-1.9354795155025297","-1.6258020960515662"
"64000","-1.7531206503976193","-1.8937456528656185","-1.6124956479296202"
"66000","-1.7727229277744492","-1.9090865665312968","-1.6363592890176015"
"68000","-1.7647015266997026","-1.8882309439427711","-1.641172109456634"
"70000","-1.8171385074087603","-1.9371385127305984","-1.6971385020869223"
"72000","-1.816662318052522","-1.9666623237232368","-1.6666623123818074"
"74000","-1.808103757814786","-1.9459415992369522","-1.6702659163926197"
"76000","-1.8631535453623895","-2.036837762515796","-1.6894693282089832"
"78000","-1.8769187314770208","-2.015380275173065","-1.7384571877809765"
"80000","-1.8899956582859203","-2.0549956645816563","-1.7249956519901843"
"82000","-1.9243858906190612","-2.092678584340142","-1.7560931968979807"
"84000","-1.9499956481868355","-2.142852808393183","-1.7571384879804879"
"86000","-1.9674375056180886","-2.1488328669653383","-1.7860421442708387"
"88000","-1.963632006435236","-2.1272683871740643","-1.7999956256964074"
"90000","-1.939995644390587","-2.093328998817338","-1.7866622899638362"
"92000","-1.956517385950559","-2.1130391446792562","-1.7999956272218618"
"94000","-1.9659530957011504","-2.0936126870677825","-1.8382935043345183"
"96000","-1.9499956492645083","-2.087495668170353","-1.812495630358664"
"98000","-1.9591793258883552","-2.069383425067882","-1.8489752267088284"
"100000","-1.9499956523180026","-2.0279956730604134","-1.8719956315755917"
"102000","-1.9235250666153223","-1.9882309698006668","-1.858819163429978"
"104000","-1.9326879631154839","-1.9961495197163162","-1.8692264065146516"
"106000","-1.913203202019325","-1.9811277460939463","-1.845278657944704"
"108000","-1.9277734234653163","-1.988884553147685","-1.8666622937829473"
"110000","-1.9527229186892536","-2.029086579355325","-1.876359258023182"
"112000","-1.9285670741860366","-2.014281381826314","-1.8428527665457588"
"114000","-1.926311431616022","-2.0421009255605815","-1.8105219376714623"
"116000","-1.9034439193791364","-2.0068922166166634","-1.7999956221416094"
"118000","-1.886436321674768","-1.98304651248253","-1.789826130867006"
"120000","-1.8849956385294604","-1.9599956651528676","-1.8099956119060532"
"122000","-1.883602193339927","-1.9672087743634084","-1.7999956123164458"
"124000","-1.877414991970986","-1.9645117886604802","-1.7903181952814917"
"126000","-1.8714242093383326","-1.9809480413557992","-1.7619003773208664"
"128000","-1.8609331378946088","-1.9593706596642733","-1.7624956161249443"
"130000","-1.8646110221285093","-1.9569187366045437","-1.7723033076524748"
"132000","-1.8727229073417915","-1.9545411070187886","-1.7909047076647946"
"134000","-1.8761150399473183","-1.9343240118738432","-1.8179060680207935"
"136000","-1.8838191679514513","-1.9235250651836395","-1.8441132707192631"
"138000","-1.8739086837224344","-1.913039131440978","-1.834778236003891"
"140000","-1.872852785097702","-1.9199956553322928","-1.8257099148631108"
"142000","-1.8676012752971185","-1.9183055112059688","-1.8168970393882684"
"144000","-1.8541623090290373","-1.8916623183836552","-1.8166622996744195"
"146000","-1.8698586553335201","-1.923283321114437","-1.8164339895526036"
"148000","-1.8648605065974042","-1.9216172716504831","-1.8081037415443253"
"150000","-1.8759956424633675","-1.9599956533511491","-1.7919956315755856"
"152000","-1.898679847897669","-1.989469329503023","-1.8078903662923147"
"154000","-1.8818138189420321","-1.96363201143293","-1.7999956264511343"
"156000","-1.9230725629493999","-1.9999956510196928","-1.846149474879107"
"158000","-1.9405019692510765","-2.0278437566342267","-1.8531601818679266"
"160000","-1.9237456416618102","-2.0099956563301418","-1.8374956269934786"
"162000","-1.9222178604407834","-2.014810464135662","-1.8296252567459046"
"164000","-1.9024346628294502","-1.997556624488863","-1.8073127011700374"
"166000","-1.9012004579855033","-2.002405286427725","-1.7999956295432815"
"168000","-1.8821384970542243","-1.9785670804658149","-1.7857099136426335"
"170000","-1.8741132876364646","-1.9623485926144306","-1.7858779826584985"
"172000","-1.8802281985362623","-1.9744142539799256","-1.786042143092599"
"174000","-1.8689611548750575","-1.9724094398234124","-1.7655128699267026"
"176000","-1.8579501846381898","-1.963632011599843","-1.7522683576765365"
