step,episodes,mean_ext_return_100,mean_int_return_100,mean_total_return_100,epsilon,replay_sequences,loss,eval_ext_return
2000,4,0.0,0.0,0.0,0.9981,1664,nan,nan
4000,8,0.0,0.0,0.0,0.9962,3328,nan,nan
6000,12,0.0,0.0,0.0,0.9943,4992,nan,nan
8000,16,0.0,0.0,0.0,0.9924,6656,nan,nan
10000,20,0.0,0.0,0.0,0.9905,8320,nan,nan
12000,25,0.0,0.0,0.0,0.9886,10400,nan,nan
14000,29,0.0,0.0,0.0,0.9867,12064,nan,nan
16000,33,0.0,0.0,0.0,0.9848,13728,nan,nan
18000,37,0.0,0.0,0.0,0.9829,15392,nan,nan
20000,41,0.0,0.0,0.0,0.981,17056,nan,0.0
22000,45,0.0,0.0,0.0,0.9791,18720,nan,0.0
24000,50,0.0,0.0,0.0,0.9772,20800,nan,0.0
26000,54,0.0,0.0,0.0,0.9753000000000001,22464,nan,0.0
28000,58,0.0,0.0,0.0,0.9734,24128,nan,0.0
30000,62,0.0,0.0,0.0,0.9715,25792,nan,0.0
32000,66,0.0,0.0,0.0,0.9696,27456,nan,0.0
34000,70,0.0,0.0,0.0,0.9677,29120,nan,0.0
36000,75,0.0,0.0,0.0,0.9658,31200,nan,0.0
38000,79,0.0,0.0,0.0,0.9639,32864,nan,0.0
40000,83,0.0,0.0,0.0,0.962,34528,nan,0.0
42000,87,0.0,0.0,0.0,0.9601,36192,nan,0.0
44000,91,0.0,0.0,0.0,0.9582,37856,nan,0.0
46000,95,0.0,0.0,0.0,0.9563,39520,nan,0.0
48000,100,0.0,0.0,0.0,0.9544,39936,nan,0.0
50000,104,0.0,0.0,0.0,0.9525,39936,0.0009342594421468675,0.0
52000,108,0.0,0.0,0.0,0.9506,39936,0.00022886708029545844,0.0
54000,112,0.0,0.0,0.0,0.9487,39936,0.0005469394964165986,0.0
56000,116,0.0,0.0,0.0,0.9468,39936,0.0004433047433849424,0.0
58000,120,0.0,0.0,0.0,0.9449,39936,3.81413042305212e-06,0.0
