step,episodes,mean_ext_return_100,mean_int_return_100,mean_total_return_100,epsilon,replay_sequences,loss,eval_ext_return
2000,4,0.0,0.4188847086961687,0.020944235434808403,0.9981,1664,nan,nan
4000,8,0.0,0.5470821502408398,0.02735410751204189,0.9962,3328,nan,nan
6000,12,0.0,0.48686423472008755,0.024343211736004285,0.9943,4992,nan,nan
8000,16,0.0,0.4532574311026565,0.022662871555132726,0.9924,6656,nan,nan
10000,20,0.0,0.4155586475478003,0.02077793237738994,0.9905,8320,nan,nan
12000,25,0.0,0.5380275597959371,0.02690137798979679,0.9886,10400,nan,nan
14000,29,0.0,0.6300732996495879,0.031503664982479335,0.9867,12064,nan,nan
16000,33,0.0,0.6278278010780455,0.03139139005390222,0.9848,13728,nan,nan
18000,37,0.0,0.658353089582687,0.03291765447913429,0.9829,15392,nan,nan
20000,41,0.0,0.6896826895248768,0.034484134476243794,0.981,17056,nan,0.0
22000,45,0.0,0.6663460101437825,0.03331730050718909,0.9791,18720,nan,0.0
24000,50,0.0,0.6682684744733979,0.03341342372366985,0.9772,20800,nan,0.0
26000,54,0.0,0.6789808501513293,0.033949042507566425,0.9753000000000001,22464,nan,0.0
28000,58,0.0,0.6954918931135909,0.03477459465567951,0.9734,24128,nan,0.0
30000,62,0.0,0.7346722051749287,0.03673361025874639,0.9715,25792,nan,0.0
32000,66,0.0,0.7276476077030029,0.03638238038515009,0.9696,27456,nan,0.0
34000,70,0.0,0.7414023861851287,0.03707011930925638,0.9677,29120,nan,0.0
36000,75,0.0,0.756573056668949,0.0378286528334474,0.9658,31200,nan,0.0
38000,79,0.0,0.7378973478065964,0.036894867390329766,0.9639,32864,nan,0.0
40000,83,0.0,0.7609460392363433,0.03804730196181711,0.962,34528,nan,0.0
42000,87,0.0,0.766243823740856,0.038312191187042745,0.9601,36192,nan,0.0
44000,91,0.0,0.7691070782691866,0.03845535391345928,0.9582,37856,nan,0.0
46000,95,0.0,0.7593479324509932,0.03796739662254961,0.9563,39520,nan,0.0
48000,100,0.0,0.7661217950448327,0.03830608975224157,0.9544,39936,nan,0.0
50000,104,0.0,0.7896872125787695,0.039484360628938425,0.9525,39936,0.001034829649142921,0.0
52000,108,0.0,0.8143407069411979,0.04071703534705984,0.9506,39936,5.9012381825596094e-05,0.0
54000,112,0.0,0.837512835667344,0.04187564178336714,0.9487,39936,0.00043283874401822686,0.0
56000,116,0.0,0.8529411262742861,0.04264705631371426,0.9468,39936,0.00023249562946148217,0.0
58000,120,0.0,0.888942586934354,0.04444712934671764,0.9449,39936,7.884611841291189e-05,0.0
60000,125,0.0,0.8563948180462466,0.042819740902312275,0.9430000000000001,39936,5.1577251724665985e-05,0.0
62000,129,0.0,0.8367583309178008,0.041837916545889975,0.9411,39936,5.7940920669352636e-05,0.0
64000,133,0.0,0.8247302974697959,0.041236514873489734,0.9392,39936,6.507577927550301e-05,0.0
66000,137,0.0,0.8000448122080707,0.040002240610403465,0.9373,39936,3.8540438254131004e-05,0.0
68000,141,0.0,0.8121934496036556,0.040609672480182706,0.9354,39936,3.731157994479872e-05,0.0
70000,145,0.0,0.8321399634184491,0.04160699817092237,0.9335,39936,3.976655352744274e-05,0.0
72000,150,0.0,0.8518502919925595,0.042592514599627894,0.9316,39936,2.9979501050547697e-05,0.0
74000,154,0.0,0.8583720253264983,0.04291860126632483,0.9297,39936,3.2911695598158985e-05,0.0
76000,158,0.0,0.8451554946477153,0.04225777473238569,0.9278,39936,3.3226471714442596e-05,0.0
78000,162,0.0,0.8201338707942523,0.04100669353971254,0.9259,39936,2.4354105335078202e-05,0.0
