frame,step,timestamp,eval_return_mean,eval_return_std,eval_return_min,eval_return_max,algorithm,environment,task,seed,eval_success_rate,eval_bottleneck_reached_rate,eval_rm_state_0_ratio,eval_rm_state_1_ratio,eval_rm_state_2_ratio
300000,49,2026-05-22T13:44:52.305424,-2.0,0.0,-2.0,-2.0,qmix,logic_env,synchronized,100,0.0,0.0,1.0,0.0,0.0
600000,99,2026-05-22T14:05:06.650648,-2.0,0.0,-2.0,-2.0,qmix,logic_env,synchronized,100,0.0,0.0,1.0,0.0,0.0
900000,149,2026-05-22T14:25:02.454844,-2.0,0.0,-2.0,-2.0,qmix,logic_env,synchronized,100,0.0,0.0,1.0,0.0,0.0
1200000,199,2026-05-22T14:45:14.942526,-2.0,0.0,-2.0,-2.0,qmix,logic_env,synchronized,100,0.0,0.0,1.0,0.0,0.0
1500000,249,2026-05-22T15:05:23.734309,-2.0,0.0,-2.0,-2.0,qmix,logic_env,synchronized,100,0.0,0.0,1.0,0.0,0.0
1800000,299,2026-05-22T15:25:15.638659,-2.0,0.0,-2.0,-2.0,qmix,logic_env,synchronized,100,0.0,0.0,1.0,0.0,0.0
2100000,349,2026-05-22T15:45:20.172208,-2.0,0.0,-2.0,-2.0,qmix,logic_env,synchronized,100,0.0,0.0,1.0,0.0,0.0
2400000,399,2026-05-22T16:05:23.721164,-2.0,0.0,-2.0,-2.0,qmix,logic_env,synchronized,100,0.0,0.0,1.0,0.0,0.0
2700000,449,2026-05-22T16:26:04.504521,2.384185791015625e-07,0.0,2.384185791015625e-07,2.384185791015625e-07,qmix,logic_env,synchronized,100,0.0,1.0,0.009999998845160007,0.9899998903274536,0.0
3000000,499,2026-05-22T16:46:26.987031,-2.0,0.0,-2.0,-2.0,qmix,logic_env,synchronized,100,0.0,0.0,1.0,0.0,0.0
3300000,549,2026-05-22T17:07:00.704271,2.384185791015625e-07,0.0,2.384185791015625e-07,2.384185791015625e-07,qmix,logic_env,synchronized,100,0.0,1.0,0.009999998845160007,0.9899998903274536,0.0
3600000,599,2026-05-22T17:27:16.735254,-2.0,0.0,-2.0,-2.0,qmix,logic_env,synchronized,100,0.0,0.0,1.0,0.0,0.0
3900000,649,2026-05-22T17:47:33.718002,2.384185791015625e-07,0.0,2.384185791015625e-07,2.384185791015625e-07,qmix,logic_env,synchronized,100,0.0,1.0,0.009999998845160007,0.9899998903274536,0.0
4200000,699,2026-05-22T18:07:46.043453,2.384185791015625e-07,0.0,2.384185791015625e-07,2.384185791015625e-07,qmix,logic_env,synchronized,100,0.0,1.0,0.009999998845160007,0.9899998903274536,0.0
4500000,749,2026-05-22T18:27:54.833771,2.384185791015625e-07,0.0,2.384185791015625e-07,2.384185791015625e-07,qmix,logic_env,synchronized,100,0.0,1.0,0.009999998845160007,0.9899998903274536,0.0
4800000,799,2026-05-22T18:48:18.078225,2.384185791015625e-07,0.0,2.384185791015625e-07,2.384185791015625e-07,qmix,logic_env,synchronized,100,0.0,1.0,0.009999998845160007,0.9899998903274536,0.0
5100000,849,2026-05-22T19:08:29.111188,-2.0,0.0,-2.0,-2.0,qmix,logic_env,synchronized,100,0.0,0.0,1.0,0.0,0.0
5400000,899,2026-05-22T19:29:07.001742,2.384185791015625e-07,0.0,2.384185791015625e-07,2.384185791015625e-07,qmix,logic_env,synchronized,100,0.0,1.0,0.009999998845160007,0.9899998903274536,0.0
5700000,949,2026-05-22T19:49:20.575251,2.384185791015625e-07,0.0,2.384185791015625e-07,2.384185791015625e-07,qmix,logic_env,synchronized,100,0.0,1.0,0.009999998845160007,0.9899998903274536,0.0
6000000,999,2026-05-22T20:09:30.193496,2.384185791015625e-07,0.0,2.384185791015625e-07,2.384185791015625e-07,qmix,logic_env,synchronized,100,0.0,1.0,0.009999998845160007,0.9899998903274536,0.0
6300000,1049,2026-05-22T20:30:06.942139,2.384185791015625e-07,0.0,2.384185791015625e-07,2.384185791015625e-07,qmix,logic_env,synchronized,100,0.0,1.0,0.009999998845160007,0.9899998903274536,0.0
6600000,1099,2026-05-22T20:50:29.756774,2.384185791015625e-07,0.0,2.384185791015625e-07,2.384185791015625e-07,qmix,logic_env,synchronized,100,0.0,1.0,0.009999998845160007,0.9899998903274536,0.0
6900000,1149,2026-05-22T21:11:09.452089,2.384185791015625e-07,0.0,2.384185791015625e-07,2.384185791015625e-07,qmix,logic_env,synchronized,100,0.0,1.0,0.009999998845160007,0.9899998903274536,0.0
7200000,1199,2026-05-22T21:31:14.259002,2.384185791015625e-07,0.0,2.384185791015625e-07,2.384185791015625e-07,qmix,logic_env,synchronized,100,0.0,1.0,0.009999998845160007,0.9899998903274536,0.0
7500000,1249,2026-05-22T21:51:31.190445,2.384185791015625e-07,0.0,2.384185791015625e-07,2.384185791015625e-07,qmix,logic_env,synchronized,100,0.0,1.0,0.009999998845160007,0.9899998903274536,0.0
7800000,1299,2026-05-22T22:11:41.742466,2.384185791015625e-07,0.0,2.384185791015625e-07,2.384185791015625e-07,qmix,logic_env,synchronized,100,0.0,1.0,0.009999998845160007,0.9899998903274536,0.0
8100000,1349,2026-05-22T22:32:07.458637,2.384185791015625e-07,0.0,2.384185791015625e-07,2.384185791015625e-07,qmix,logic_env,synchronized,100,0.0,1.0,0.009999998845160007,0.9899998903274536,0.0
8400000,1399,2026-05-22T22:52:25.843336,2.384185791015625e-07,0.0,2.384185791015625e-07,2.384185791015625e-07,qmix,logic_env,synchronized,100,0.0,1.0,0.009999998845160007,0.9899998903274536,0.0
8700000,1449,2026-05-22T23:12:54.258402,2.384185791015625e-07,0.0,2.384185791015625e-07,2.384185791015625e-07,qmix,logic_env,synchronized,100,0.0,1.0,0.009999998845160007,0.9899998903274536,0.0
9000000,1499,2026-05-22T23:33:12.246089,2.384185791015625e-07,0.0,2.384185791015625e-07,2.384185791015625e-07,qmix,logic_env,synchronized,100,0.0,1.0,0.009999998845160007,0.9899998903274536,0.0
