frame,step,timestamp,eval_return_mean,eval_return_std,eval_return_min,eval_return_max,algorithm,environment,task,seed,eval_win_rate
2000,0,2026-05-02T18:40:11.938338,3.379826784133911,1.7431261539459229,1.5346535444259644,8.059405326843262,qmix,smacv2,protoss_5_vs_5,100,0.0
4000,1,2026-05-02T18:41:51.134526,3.2317452430725098,1.2524898052215576,1.6237623691558838,5.83168363571167,qmix,smacv2,protoss_5_vs_5,100,0.0
6000,2,2026-05-02T18:43:36.026663,4.738551616668701,1.8128796815872192,1.455445647239685,7.975247859954834,qmix,smacv2,protoss_5_vs_5,100,0.0
8000,3,2026-05-02T18:45:15.350186,4.8579206466674805,1.605512261390686,2.4566831588745117,8.445544242858887,qmix,smacv2,protoss_5_vs_5,100,0.0
10000,4,2026-05-02T18:46:53.792245,5.255198001861572,2.4313032627105713,1.93069326877594,12.178218841552734,qmix,smacv2,protoss_5_vs_5,100,0.05000000074505806
12000,5,2026-05-02T18:48:32.022574,5.229084014892578,2.1472604274749756,2.1683170795440674,9.551980018615723,qmix,smacv2,protoss_5_vs_5,100,0.0
14000,6,2026-05-02T18:50:09.109914,5.142388820648193,1.7913810014724731,2.2277228832244873,8.732673645019531,qmix,smacv2,protoss_5_vs_5,100,0.0
16000,7,2026-05-02T18:51:47.908912,5.8228960037231445,1.8711451292037964,2.1410892009735107,9.544553756713867,qmix,smacv2,protoss_5_vs_5,100,0.0
18000,8,2026-05-02T18:53:24.731823,4.6532182693481445,1.6512569189071655,1.7982676029205322,7.633663177490234,qmix,smacv2,protoss_5_vs_5,100,0.0
20000,9,2026-05-02T18:55:04.308164,5.018193244934082,2.0700738430023193,1.407178282737732,8.366336822509766,qmix,smacv2,protoss_5_vs_5,100,0.0
22000,10,2026-05-02T18:56:42.866752,6.174566745758057,2.6036269664764404,2.683168411254883,11.89108943939209,qmix,smacv2,protoss_5_vs_5,100,0.05000000074505806
24000,11,2026-05-02T18:58:20.110549,5.526484966278076,1.5193440914154053,3.56559419631958,8.720296859741211,qmix,smacv2,protoss_5_vs_5,100,0.0
26000,12,2026-05-02T18:59:58.068586,6.4339728355407715,3.072021007537842,2.429455518722534,12.950494766235352,qmix,smacv2,protoss_5_vs_5,100,0.15000000596046448
28000,13,2026-05-02T19:01:38.070148,5.63743782043457,2.0335397720336914,2.462871551513672,10.198019981384277,qmix,smacv2,protoss_5_vs_5,100,0.10000000149011612
30000,14,2026-05-02T19:03:20.121522,4.787747383117676,1.7343480587005615,1.59529709815979,7.990098476409912,qmix,smacv2,protoss_5_vs_5,100,0.0
32000,15,2026-05-02T19:05:06.585970,5.744987964630127,1.8355820178985596,2.129950523376465,9.158415794372559,qmix,smacv2,protoss_5_vs_5,100,0.0
34000,16,2026-05-02T19:06:50.509834,5.912871360778809,2.1738569736480713,3.0990099906921387,12.217822074890137,qmix,smacv2,protoss_5_vs_5,100,0.05000000074505806
36000,17,2026-05-02T19:08:34.673939,5.2098388671875,1.7416497468948364,2.4851484298706055,10.099010467529297,qmix,smacv2,protoss_5_vs_5,100,0.05000000074505806
38000,18,2026-05-02T19:10:19.718102,4.7425737380981445,1.6698331832885742,2.2475247383117676,9.375,qmix,smacv2,protoss_5_vs_5,100,0.0
40000,19,2026-05-02T19:12:06.923838,5.649814605712891,2.2492759227752686,1.3626238107681274,10.25866413116455,qmix,smacv2,protoss_5_vs_5,100,0.05000000074505806
42000,20,2026-05-02T19:13:52.884671,5.268874168395996,1.5545003414154053,1.9801981449127197,9.217822074890137,qmix,smacv2,protoss_5_vs_5,100,0.0
44000,21,2026-05-02T19:15:38.525495,5.103712558746338,1.5776546001434326,1.7549505233764648,7.564356803894043,qmix,smacv2,protoss_5_vs_5,100,0.0
46000,22,2026-05-02T19:17:20.549282,4.829331398010254,1.5243791341781616,2.821782112121582,8.514851570129395,qmix,smacv2,protoss_5_vs_5,100,0.0
48000,23,2026-05-02T19:19:06.729580,5.917450904846191,2.46050763130188,3.446781873703003,11.985148429870605,qmix,smacv2,protoss_5_vs_5,100,0.05000000074505806
50000,24,2026-05-02T19:20:53.440098,4.367079257965088,1.9922856092453003,1.0940594673156738,8.788366317749023,qmix,smacv2,protoss_5_vs_5,100,0.0
52000,25,2026-05-02T19:22:36.677708,4.908106803894043,1.0153712034225464,2.6039602756500244,6.4851484298706055,qmix,smacv2,protoss_5_vs_5,100,0.0
54000,26,2026-05-02T19:24:20.408107,5.533911228179932,1.9407742023468018,2.6212873458862305,9.881189346313477,qmix,smacv2,protoss_5_vs_5,100,0.0
56000,27,2026-05-02T19:26:04.629069,4.3654704093933105,1.3477675914764404,2.2475247383117676,7.280940055847168,qmix,smacv2,protoss_5_vs_5,100,0.0
58000,28,2026-05-02T19:27:51.812917,5.419554710388184,2.1507537364959717,2.5321784019470215,11.89975357055664,qmix,smacv2,protoss_5_vs_5,100,0.05000000074505806
60000,29,2026-05-02T19:29:36.564942,5.477227210998535,1.6617913246154785,3.106435775756836,10.09900951385498,qmix,smacv2,protoss_5_vs_5,100,0.05000000074505806
62000,30,2026-05-02T19:31:20.316056,4.883291721343994,1.855684518814087,0.9108911752700806,8.059406280517578,qmix,smacv2,protoss_5_vs_5,100,0.0
64000,31,2026-05-02T19:33:06.761110,4.905074119567871,1.563779592514038,2.612623929977417,8.75247573852539,qmix,smacv2,protoss_5_vs_5,100,0.0
66000,32,2026-05-02T19:34:54.585903,5.232425689697266,1.8962916135787964,1.7128713130950928,8.465346336364746,qmix,smacv2,protoss_5_vs_5,100,0.0
68000,33,2026-05-02T19:36:38.307893,5.367883205413818,1.7429273128509521,2.6930694580078125,10.293316841125488,qmix,smacv2,protoss_5_vs_5,100,0.0
70000,34,2026-05-02T19:38:21.708232,5.502537727355957,2.093492031097412,2.613861560821533,10.693069458007812,qmix,smacv2,protoss_5_vs_5,100,0.0
72000,35,2026-05-02T19:40:10.545189,4.731497764587402,1.331775188446045,1.9306930303573608,7.294554233551025,qmix,smacv2,protoss_5_vs_5,100,0.0
74000,36,2026-05-02T19:41:55.566396,4.762747764587402,1.55400812625885,2.446782350540161,7.613862037658691,qmix,smacv2,protoss_5_vs_5,100,0.0
76000,37,2026-05-02T19:43:38.447047,5.512190818786621,2.605177164077759,1.8613860607147217,10.51980209350586,qmix,smacv2,protoss_5_vs_5,100,0.05000000074505806
78000,38,2026-05-02T19:45:21.419719,4.700866222381592,1.3863028287887573,2.2574257850646973,7.199257850646973,qmix,smacv2,protoss_5_vs_5,100,0.0
80000,39,2026-05-02T19:47:05.930341,5.705693244934082,2.3945765495300293,2.4801981449127197,11.88118839263916,qmix,smacv2,protoss_5_vs_5,100,0.05000000074505806
82000,40,2026-05-02T19:48:49.025181,5.261633396148682,2.4172937870025635,2.334158420562744,9.904703140258789,qmix,smacv2,protoss_5_vs_5,100,0.05000000074505806
84000,41,2026-05-02T19:50:31.419302,5.043502330780029,1.5595272779464722,2.8948018550872803,8.257425308227539,qmix,smacv2,protoss_5_vs_5,100,0.0
86000,42,2026-05-02T19:52:16.261366,5.921225070953369,1.7395743131637573,2.040841579437256,9.079208374023438,qmix,smacv2,protoss_5_vs_5,100,0.0
88000,43,2026-05-02T19:53:59.863851,4.59276008605957,1.7979469299316406,2.673267364501953,8.465347290039062,qmix,smacv2,protoss_5_vs_5,100,0.0
90000,44,2026-05-02T19:55:44.027345,4.484467506408691,1.558007001876831,1.8824256658554077,7.103959560394287,qmix,smacv2,protoss_5_vs_5,100,0.0
92000,45,2026-05-02T19:57:24.316907,5.235705375671387,1.8144932985305786,1.794554352760315,10.297029495239258,qmix,smacv2,protoss_5_vs_5,100,0.05000000074505806
94000,46,2026-05-02T19:59:08.653267,5.429269790649414,2.3413279056549072,2.3366336822509766,12.00371265411377,qmix,smacv2,protoss_5_vs_5,100,0.05000000074505806
96000,47,2026-05-02T20:00:50.910114,5.001856327056885,1.2619880437850952,3.445544481277466,8.14480209350586,qmix,smacv2,protoss_5_vs_5,100,0.0
98000,48,2026-05-02T20:02:34.711297,4.117512226104736,1.524308443069458,2.054455518722534,6.574256896972656,qmix,smacv2,protoss_5_vs_5,100,0.0
100000,49,2026-05-02T20:04:20.480205,5.000123977661133,1.8198593854904175,1.9009902477264404,9.77475357055664,qmix,smacv2,protoss_5_vs_5,100,0.0
102000,50,2026-05-02T20:06:10.252956,4.652290344238281,2.1241679191589355,1.0099010467529297,10.361387252807617,qmix,smacv2,protoss_5_vs_5,100,0.0
104000,51,2026-05-02T20:07:55.392199,5.963799476623535,1.6449192762374878,3.5272278785705566,9.379949569702148,qmix,smacv2,protoss_5_vs_5,100,0.0
106000,52,2026-05-02T20:09:39.030222,6.387994766235352,3.3625168800354004,2.547029733657837,16.09282112121582,qmix,smacv2,protoss_5_vs_5,100,0.20000000298023224
108000,53,2026-05-02T20:11:17.206128,6.5057549476623535,1.9962849617004395,2.1992573738098145,10.0,qmix,smacv2,protoss_5_vs_5,100,0.05000000074505806
110000,54,2026-05-02T20:13:02.884849,6.212252140045166,2.2551016807556152,2.548267364501953,10.762375831604004,qmix,smacv2,protoss_5_vs_5,100,0.10000000149011612
112000,55,2026-05-02T20:14:48.008965,4.966522216796875,1.49936842918396,2.19059419631958,8.594058990478516,qmix,smacv2,protoss_5_vs_5,100,0.0
114000,56,2026-05-02T20:16:26.961802,5.5081071853637695,1.5226941108703613,3.1089110374450684,9.23762321472168,qmix,smacv2,protoss_5_vs_5,100,0.0
116000,57,2026-05-02T20:18:07.742800,4.877599239349365,2.1677188873291016,2.1757423877716064,12.079208374023438,qmix,smacv2,protoss_5_vs_5,100,0.05000000074505806
118000,58,2026-05-02T20:19:54.597436,5.267389297485352,1.3099145889282227,2.6336634159088135,7.498762607574463,qmix,smacv2,protoss_5_vs_5,100,0.0
120000,59,2026-05-02T20:21:35.363287,6.889604091644287,2.989997386932373,2.6930694580078125,13.8613862991333,qmix,smacv2,protoss_5_vs_5,100,0.15000000596046448
122000,60,2026-05-02T20:23:18.966833,6.0677595138549805,2.661850929260254,2.8415844440460205,12.224010467529297,qmix,smacv2,protoss_5_vs_5,100,0.15000000596046448
124000,61,2026-05-02T20:25:03.274108,5.380198001861572,1.8426814079284668,2.2574257850646973,9.164604187011719,qmix,smacv2,protoss_5_vs_5,100,0.0
126000,62,2026-05-02T20:26:42.834638,5.754826545715332,1.7134859561920166,3.5272281169891357,10.851484298706055,qmix,smacv2,protoss_5_vs_5,100,0.0
128000,63,2026-05-02T20:28:25.734405,5.988552093505859,1.9789984226226807,2.7425742149353027,10.438117980957031,qmix,smacv2,protoss_5_vs_5,100,0.0
130000,64,2026-05-02T20:30:08.025921,5.291522026062012,1.3669495582580566,3.195544481277466,7.831683158874512,qmix,smacv2,protoss_5_vs_5,100,0.0
132000,65,2026-05-02T20:31:55.491896,6.274691104888916,3.41474986076355,2.584158420562744,15.946783065795898,qmix,smacv2,protoss_5_vs_5,100,0.10000000149011612
134000,66,2026-05-02T20:33:38.014243,6.165655612945557,2.5272200107574463,3.0396041870117188,12.277228355407715,qmix,smacv2,protoss_5_vs_5,100,0.10000000149011612
136000,67,2026-05-02T20:35:21.355111,5.745667934417725,1.812630295753479,2.4269800186157227,9.396039962768555,qmix,smacv2,protoss_5_vs_5,100,0.0
138000,68,2026-05-02T20:37:06.830016,5.338984966278076,2.3970580101013184,3.0396039485931396,13.960397720336914,qmix,smacv2,protoss_5_vs_5,100,0.05000000074505806
140000,69,2026-05-02T20:38:50.968011,5.9071784019470215,2.112011671066284,2.601485252380371,11.980196952819824,qmix,smacv2,protoss_5_vs_5,100,0.05000000074505806
142000,70,2026-05-02T20:40:35.058284,4.754703521728516,2.3195912837982178,2.0792081356048584,12.934407234191895,qmix,smacv2,protoss_5_vs_5,100,0.0
144000,71,2026-05-02T20:42:17.258984,4.935705661773682,1.684409737586975,3.0371286869049072,9.731435775756836,qmix,smacv2,protoss_5_vs_5,100,0.0
146000,72,2026-05-02T20:44:01.298239,6.341460227966309,2.331786870956421,4.019802093505859,13.8613862991333,qmix,smacv2,protoss_5_vs_5,100,0.05000000074505806
148000,73,2026-05-02T20:45:42.851446,5.41825532913208,1.1064465045928955,3.3465347290039062,7.039603233337402,qmix,smacv2,protoss_5_vs_5,100,0.0
150000,74,2026-05-02T20:47:24.515652,5.6704206466674805,2.5011744499206543,2.012376308441162,10.99381160736084,qmix,smacv2,protoss_5_vs_5,100,0.0
152000,75,2026-05-02T20:49:09.814121,6.343441009521484,2.1958343982696533,3.772277355194092,14.158414840698242,qmix,smacv2,protoss_5_vs_5,100,0.05000000074505806
154000,76,2026-05-02T20:50:53.510343,5.954517364501953,2.5235981941223145,3.3168320655822754,13.960395812988281,qmix,smacv2,protoss_5_vs_5,100,0.05000000074505806
