frame,step,timestamp,eval_return_mean,eval_return_std,eval_return_min,eval_return_max,algorithm,environment,task,seed,eval_win_rate
2000,0,2026-05-22T13:32:58.088378,1.4207589626312256,0.7436540126800537,0.12089197337627411,3.0991737842559814,qmix,smacv2,terran_10_vs_10,100,0.0
4000,1,2026-05-22T13:36:56.976447,2.708066463470459,2.093783378601074,0.7058408856391907,10.165289878845215,qmix,smacv2,terran_10_vs_10,100,0.05000000074505806
6000,2,2026-05-22T13:40:56.921809,2.0916500091552734,1.7143880128860474,0.3087954819202423,6.736598014831543,qmix,smacv2,terran_10_vs_10,100,0.0
8000,3,2026-05-22T13:44:54.385526,3.638397693634033,1.821610927581787,1.3287221193313599,8.68569278717041,qmix,smacv2,terran_10_vs_10,100,0.05000000074505806
10000,4,2026-05-22T13:48:50.863429,2.212367534637451,1.519037127494812,0.4787294268608093,6.280991554260254,qmix,smacv2,terran_10_vs_10,100,0.0
12000,5,2026-05-22T13:52:47.936862,3.8891329765319824,2.1095449924468994,0.9206887483596802,9.504132270812988,qmix,smacv2,terran_10_vs_10,100,0.05000000074505806
14000,6,2026-05-22T13:56:39.276963,2.8981690406799316,1.716244101524353,0.7769221663475037,6.667916297912598,qmix,smacv2,terran_10_vs_10,100,0.0
16000,7,2026-05-22T14:00:25.834964,2.879441976547241,1.2786920070648193,1.1991502046585083,6.355372428894043,qmix,smacv2,terran_10_vs_10,100,0.0
18000,8,2026-05-22T14:04:17.964828,3.3202338218688965,2.0731940269470215,1.1308554410934448,10.165289878845215,qmix,smacv2,terran_10_vs_10,100,0.05000000074505806
20000,9,2026-05-22T14:08:15.181220,2.252119302749634,1.1898999214172363,0.5998152494430542,4.768530368804932,qmix,smacv2,terran_10_vs_10,100,0.0
22000,10,2026-05-22T14:12:18.906694,3.1619272232055664,2.250041961669922,0.5134862661361694,10.062782287597656,qmix,smacv2,terran_10_vs_10,100,0.05000000074505806
24000,11,2026-05-22T14:16:22.903435,3.4812934398651123,1.6094008684158325,0.8583217859268188,6.144045829772949,qmix,smacv2,terran_10_vs_10,100,0.0
26000,12,2026-05-22T14:20:25.502491,3.015882968902588,1.0820595026016235,1.459700584411621,5.611570835113525,qmix,smacv2,terran_10_vs_10,100,0.0
28000,13,2026-05-22T14:24:28.790497,3.5985724925994873,1.8824942111968994,1.1382884979248047,9.625533103942871,qmix,smacv2,terran_10_vs_10,100,0.05000000074505806
30000,14,2026-05-22T14:28:27.828538,3.3652026653289795,1.716203212738037,1.4268686771392822,7.272727012634277,qmix,smacv2,terran_10_vs_10,100,0.0
32000,15,2026-05-22T14:32:29.642517,3.1756701469421387,2.0246715545654297,0.5269402861595154,6.983471870422363,qmix,smacv2,terran_10_vs_10,100,0.0
34000,16,2026-05-22T14:36:33.964481,2.851792097091675,1.9135401248931885,0.9008263349533081,8.842974662780762,qmix,smacv2,terran_10_vs_10,100,0.05000000074505806
36000,17,2026-05-22T14:40:43.742852,3.0656886100769043,1.620225191116333,1.2118979692459106,8.68595027923584,qmix,smacv2,terran_10_vs_10,100,0.0
38000,18,2026-05-22T14:44:55.144779,2.308610677719116,1.0305311679840088,0.9090908765792847,4.6420979499816895,qmix,smacv2,terran_10_vs_10,100,0.0
40000,19,2026-05-22T14:49:02.882645,3.070038318634033,1.680757999420166,0.6583040356636047,5.876033306121826,qmix,smacv2,terran_10_vs_10,100,0.0
42000,20,2026-05-22T14:53:17.997039,4.006340980529785,2.1655213832855225,1.0710185766220093,10.165289878845215,qmix,smacv2,terran_10_vs_10,100,0.10000000149011612
44000,21,2026-05-22T14:57:26.316512,3.340594530105591,1.3396986722946167,0.5207257270812988,6.553719520568848,qmix,smacv2,terran_10_vs_10,100,0.0
46000,22,2026-05-22T15:01:31.739990,3.537600040435791,1.6820716857910156,1.0726813077926636,6.735537528991699,qmix,smacv2,terran_10_vs_10,100,0.0
48000,23,2026-05-22T15:05:32.871710,3.5365467071533203,1.4042506217956543,1.0734559297561646,6.024792671203613,qmix,smacv2,terran_10_vs_10,100,0.0
50000,24,2026-05-22T15:09:28.584915,3.3557777404785156,1.7540206909179688,1.4710742235183716,9.504133224487305,qmix,smacv2,terran_10_vs_10,100,0.05000000074505806
52000,25,2026-05-22T15:13:27.972554,2.5402884483337402,1.414768934249878,0.2809271812438965,5.4132232666015625,qmix,smacv2,terran_10_vs_10,100,0.0
54000,26,2026-05-22T15:17:23.091394,2.3075222969055176,1.217099666595459,0.5785123109817505,6.090908527374268,qmix,smacv2,terran_10_vs_10,100,0.0
56000,27,2026-05-22T15:21:13.982775,2.858917236328125,1.1617597341537476,1.3305786848068237,5.661156177520752,qmix,smacv2,terran_10_vs_10,100,0.0
